primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
GE,40545,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,3600.0,Electronic & Other Electrical Equipment (No Computer Equip),operating,NYSE,NYSE,NY,NY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Artificial Intelligence | ARK Portfolio | Robotics,GE航空航天,276.29,288263644658
RTX,101829,RTX Corp,RTX Corp,3724.0,Aircraft Engines & Engine Parts,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Space | Robotics | Defense,雷神技术,180.91,243628498959
BA,12927,BOEING CO,BOEING CO,3721.0,Aircraft,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Space | Robotics | Defense,波音,231.28,182318563114
LMT,936468,LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORP,3760.0,Guided Missiles & Space Vehicles & Parts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Space | Robotics | Defense,洛克希德马丁,555.43,128005574201
HWM,4281,Howmet Aerospace Inc.,Howmet Aerospace Inc.,3350.0,Rolling Drawing & Extruding of  Nonferrous Metals,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Space | Defense,Howmet Aerospace Inc,240.88,96523881610
GD,40533,GENERAL DYNAMICS CORP,GENERAL DYNAMICS CORP,3730.0,Ship & Boat Building & Repairing,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Robotics,通用动力,320.74,86871101778
NOC,1133421,NORTHROP GRUMMAN CORP /DE/,NORTHROP GRUMMAN CORP /DE/,3812.0,"Search, Detection, Navigation, Guidance, Aeronautical Sys",operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Drone concept stocks | Space | Robotics,诺斯罗普-格鲁曼,589.62,83745778119
TDG,1260221,TransDigm Group INC,TransDigm Group INC,3728.0,"Aircraft Parts & Auxiliary Equipment, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,,TransDigm Group Inc,1187.75,67076474453
LHX,202058,"L3HARRIS TECHNOLOGIES, INC. /DE/","L3HARRIS TECHNOLOGIES, INC. /DE/",3812.0,"Search, Detection, Navigation, Guidance, Aeronautical Sys",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Space | Robotics,L3Harris Technologies Inc,331.66,61949409936
RKLB,1819994,Rocket Lab Corp,Rocket Lab Corp,3760.0,Guided Missiles & Space Vehicles & Parts,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Space,Rocket Lab Corp,90.04,51842087692
ESLT,1027664,ELBIT SYSTEMS LTD,ELBIT SYSTEMS LTD,3728.0,"Aircraft Parts & Auxiliary Equipment, NEC",other,Nasdaq,Nasdaq,L3,Israel,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Robotics,埃尔比特系统,860.97,40042796045
HEI,46619,HEICO CORP,HEICO CORP,3724.0,Aircraft Engines & Engine Parts,operating,NYSE,NYSE|NYSE,FL,FL,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Space | Defense | Warren Buffett Portfolio,海科航空,268.57,37470456419
AXON,1069183,"AXON ENTERPRISE, INC.","AXON ENTERPRISE, INC.",3480.0,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,,Axon Enterprise Inc,403.15,32482682833
CW,26324,CURTISS WRIGHT CORP,CURTISS WRIGHT CORP,3590.0,Misc Industrial & Commercial Machinery & Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Defense,寇蒂斯莱特,710.93,26238415079
WWD,108312,"Woodward, Inc.","Woodward, Inc.",3620.0,Electrical Industrial Apparatus,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,,伍德沃德,366.48,21848023671
BWXT,1486957,"BWX Technologies, Inc.","BWX Technologies, Inc.",3510.0,Engines & Turbines,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Nuclear Power | Defense,BWX Technologies Inc,219.1,20072171672
TXT,217346,TEXTRON INC,TEXTRON INC,3720.0,Aircraft & Parts,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Robotics | Defense,德事隆,89.46,15574886789
ARXS,2093536,"Arxis, Inc.","Arxis, Inc.",3728.0,"Aircraft Parts & Auxiliary Equipment, NEC",other,,,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,,Arxis Inc-A,36.26,14661033575
HII,1501585,"HUNTINGTON INGALLS INDUSTRIES, INC.","HUNTINGTON INGALLS INDUSTRIES, INC.",3730.0,Ship & Boat Building & Repairing,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Defense,亨廷顿英戈尔斯工业,366.88,14446696496
PL,1836833,Planet Labs PBC,Planet Labs PBC,3663.0,Radio & Tv Broadcasting & Communications Equipment,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,Space,Planet Labs PBC-A,39.47,13662502096
KTOS,1069258,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.","KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",3760.0,Guided Missiles & Space Vehicles & Parts,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,ARK Portfolio | Drone concept stocks | Space | Robotics,克瑞拓斯安全防卫,68.61,12859141498
EMBJ,1355444,EMBRAER S.A.,EMBRAER S.A.,3721.0,Aircraft,other,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,,巴西航空工业,64.38,11632921007
DRS,1833756,"Leonardo DRS, Inc.","Leonardo DRS, Inc.",3812.0,"Search, Detection, Navigation, Guidance, Aeronautical Sys",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Aerospace & Defense,Aerospace & Defense,,Leonardo DRS Inc,42.07,11189172498
