primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
DAL,27904,"DELTA AIR LINES, INC.","DELTA AIR LINES, INC.",4512.0,"Air Transportation, Scheduled",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Airlines & Airports,Airlines,,达美航空,68.41,44944967202
RYAAY,1038683,RYANAIR HOLDINGS PLC,RYANAIR HOLDINGS PLC,4512.0,"Air Transportation, Scheduled",other,Nasdaq,Nasdaq|OTC,,,insiderTransactionForIssuerExists,Airlines & Airports,Airlines,,瑞安航空(ADR),58.66,30618516996
UAL,100517,"United Airlines Holdings, Inc.","United Airlines Holdings, Inc.",4512.0,"Air Transportation, Scheduled",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Airlines & Airports,Airlines,,联合航空,91.71,29766289755
LUV,92380,SOUTHWEST AIRLINES CO,SOUTHWEST AIRLINES CO,4512.0,"Air Transportation, Scheduled",operating,NYSE,NYSE,TX,TX,insiderTransactionForIssuerExists,Airlines & Airports,Airlines,Donald Trump,西南航空,39.35,19323830684
LTM,1047716,LATAM AIRLINES GROUP S.A.,LATAM AIRLINES GROUP S.A.,4512.0,"Air Transportation, Scheduled",other,NYSE,NYSE,,,,Airlines & Airports,Airlines,,LATAM Airlines Group SA ADR,51.76,14860709658
PAC,1347557,Pacific Airport Group,Pacific Airport Group,4581.0,"Airports, Flying Fields & Airport Terminal Services",other,NYSE,NYSE|OTC,O5,Mexico,insiderTransactionForIssuerExists,Airlines & Airports,Airports & Air Services,,太平洋航空,263.83,13330735333
ASR,1123452,SOUTHEAST AIRPORT GROUP,SOUTHEAST AIRPORT GROUP,4581.0,"Airports, Flying Fields & Airport Terminal Services",other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Airlines & Airports,Airports & Air Services,,Grupo Aeroportuario del Sureste,324.57,9737100000
JOBY,1819848,"Joby Aviation, Inc.","Joby Aviation, Inc.",3721.0,Aircraft,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Airlines & Airports,Airports & Air Services,ARK Portfolio | Drone concept stocks,Joby Aviation Inc,9.14,8986167237
AAL,6201,American Airlines Group Inc.,American Airlines Group Inc.,4512.0,"Air Transportation, Scheduled",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Airlines & Airports,Airlines,,美国航空,11.5,7593502590
OMAB,1378239,Central North Airport Group,Central North Airport Group,4581.0,"Airports, Flying Fields & Airport Terminal Services",other,Nasdaq,Nasdaq|OTC,O5,Mexico,insiderTransactionForIssuerExists,Airlines & Airports,Airports & Air Services,Infrastructure,墨西哥北方中心机场,115.57,5578700056
