primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
TJX,109198,TJX COMPANIES INC /DE/,TJX COMPANIES INC /DE/,5651.0,Retail-Family Clothing Stores,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,Top Retailers | Santa Rally | Black Friday | Clothing,The TJX Companies Inc,158.47,175396284339
ROST,745732,"ROSS STORES, INC.","ROSS STORES, INC.",5651.0,Retail-Family Clothing Stores,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,Top Retailers | Black Friday,罗斯百货,226.34,72915011818
NKE,320187,"NIKE, Inc.","NIKE, Inc.",3021.0,Rubber & Plastics Footwear,operating,NYSE,NYSE,OR,OR,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Footwear & Accessories,Sports | Clothing | Singles' Day Sales,耐克,45.68,67646919667
TPR,1116132,"TAPESTRY, INC.","TAPESTRY, INC.",3100.0,Leather & Leather Products,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Luxury Goods,,Tapestry Inc,146.17,29594195476
RL,1037038,RALPH LAUREN CORP,RALPH LAUREN CORP,2320.0,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Manufacturing,,拉夫劳伦,375.29,22718710435
BURL,1579298,"Burlington Stores, Inc.","Burlington Stores, Inc.",5311.0,Retail-Department Stores,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,Black Friday,伯灵顿百货,337.02,21175057932
LULU,1397187,lululemon athletica inc.,lululemon athletica inc.,2300.0,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,Black Friday,lululemon athletica inc,163.45,18058392575
DECK,910521,DECKERS OUTDOOR CORP,DECKERS OUTDOOR CORP,3021.0,Rubber & Plastics Footwear,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Footwear & Accessories,Sports,德克斯户外,107.69,15286592377
ONON,1858985,On Holding AG,On Holding AG,3021.0,Rubber & Plastics Footwear,other,NYSE,NYSE,V8,Switzerland,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Footwear & Accessories,WallStreetBets,昂跑,36.6,12114509269
GIL,1061894,Gildan Activewear Inc.,Gildan Activewear Inc.,2300.0,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,other,NYSE,NYSE,Z4,Canada (Federal Level),,"Apparel, Footwear & Luxury Goods",Apparel Manufacturing,Sports,吉登运动服,60.74,11247680560
GAP,39911,GAP INC,GAP INC,5651.0,Retail-Family Clothing Stores,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,Black Friday,盖普,25.92,9469617751
LEVI,94845,LEVI STRAUSS & CO,LEVI STRAUSS & CO,2300.0,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Manufacturing,,李维斯,22.82,8776486448
VFC,103379,V F CORP,V F CORP,2320.0,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",operating,NYSE,NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Manufacturing,Sports | Clothing,威富,21.55,8431725042
BIRK,1977102,Birkenstock Holding plc,Birkenstock Holding plc,3140.0,"Footwear, (No Rubber)",other,NYSE,NYSE,Y9,Jersey,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Footwear & Accessories,,Birkenstock Holding plc,40.92,7525435812
URBN,912615,URBAN OUTFITTERS INC,URBAN OUTFITTERS INC,5651.0,Retail-Family Clothing Stores,operating,Nasdaq,Nasdaq,PA,PA,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,,Urban Outfitters Inc,75.18,6435504230
CROX,1334036,"Crocs, Inc.","Crocs, Inc.",3021.0,Rubber & Plastics Footwear,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Footwear & Accessories,,卡骆驰,105.29,5289095323
ZGN,1877787,Ermenegildo Zegna N.V.,Ermenegildo Zegna N.V.,2300.0,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,other,NYSE,NYSE,P7,Netherlands,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Manufacturing,,Ermenegildo Zegna NV,12.02,5087986668
BOOT,1610250,"Boot Barn Holdings, Inc.","Boot Barn Holdings, Inc.",5661.0,Retail-Shoe Stores,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Apparel, Footwear & Luxury Goods",Apparel Retail,,Boot Barn Holdings Inc,164.69,5009940781
