primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
BLK,2012383,"BlackRock, Inc.","BlackRock, Inc.",6211.0,"Security Brokers, Dealers & Flotation Companies",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Asset Management,Asset Management,Asset Management,贝莱德,1062.47,165070614364
BN,1001085,BROOKFIELD Corp /ON/,BROOKFIELD Corp /ON/,6512.0,Opeators of  Nonresidential Buildings,other,NYSE,NYSE|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|NYSE|NYSE|OTC|OTC|OTC|OTC|OTC,A6,"Ontario, Canada",insiderTransactionForOwnerExists,Asset Management,Asset Management,,布鲁克菲尔德,46.19,103336913690
BX,1393818,Blackstone Inc.,Blackstone Inc.,6282.0,Investment Advice,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Asset Management,Asset Management,,黑石集团,129.73,96283107011
KKR,1404912,KKR & Co. Inc.,KKR & Co. Inc.,6282.0,Investment Advice,operating,NYSE,NYSE|NYSE|NYSE|NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Asset Management,Asset Management,,KKR & Co Inc,105.92,94433070692
BAM,1937926,Brookfield Asset Management Ltd.,Brookfield Asset Management Ltd.,6282.0,Investment Advice,operating,NYSE,NYSE,A1,"British Columbia, Canada",insiderTransactionForOwnerExists,Asset Management,Asset Management,,布鲁克菲尔德资产管理,48.51,79468538397
APO,1858681,"Apollo Global Management, Inc.","Apollo Global Management, Inc.",6282.0,Investment Advice,operating,NYSE,NYSE|NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Asset Management,Asset Management,,阿波罗全球管理,129.06,74628601442
AMP,820027,AMERIPRISE FINANCIAL INC,AMERIPRISE FINANCIAL INC,6282.0,Investment Advice,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Asset Management,Asset Management,Asset Management,阿默普莱斯金融,468.51,42489016823
STT,93751,STATE STREET CORP,STATE STREET CORP,6022.0,State Commercial Banks,operating,NYSE,NYSE|NYSE,MA,MA,insiderTransactionForIssuerExists,Asset Management,Asset Management,Asset Management,道富,152.4,42203368933
ARES,1176948,Ares Management Corp,Ares Management Corp,6282.0,Investment Advice,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Asset Management,Asset Management,,Ares Management Corp-A,121.05,39505022540
NTRS,73124,NORTHERN TRUST CORP,NORTHERN TRUST CORP,6022.0,State Commercial Banks,operating,Nasdaq,Nasdaq|Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Asset Management,Asset Management,Asset Management,北方信托,167.83,31056438010
