primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
TSLA,1318605,"Tesla, Inc.","Tesla, Inc.",3711.0,Motor Vehicles & Passenger Car Bodies,operating,Nasdaq,Nasdaq,TX,TX,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Nancy Pelosi Portfolio | Artificial Intelligence | Brain-Computer Interface | Fed Rate Cut Beneficiaries | Donald Trump | BATMMAAN | DeepSeek Beneficiaries | Intelligent driving concept stocks | Autonomous Driving | Star Tech Companies | EV Charging | AI Chip | Electric Vehicles | Robotics,特斯拉,387.51,1454104918120
TM,1094517,TOYOTA MOTOR CORP/,TOYOTA MOTOR CORP/,3711.0,Motor Vehicles & Passenger Car Bodies,other,NYSE,NYSE|OTC,M0,Japan,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Japanese Companies | Autonomous Driving | Solid State Battery | Electric Vehicles,丰田汽车(ADR),200.43,261228170169
RACE,1648416,Ferrari N.V.,Ferrari N.V.,3711.0,Motor Vehicles & Passenger Car Bodies,other,NYSE,NYSE,P7,Netherlands,,Auto Manufacturers,Auto Manufacturers,,法拉利,358.58,83887831002
GM,1467858,General Motors Co,General Motors Co,3711.0,Motor Vehicles & Passenger Car Bodies,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Intelligent driving concept stocks | Autonomous Driving | Electric Vehicles,通用汽车,79.0,71230869662
F,37996,FORD MOTOR CO,FORD MOTOR CO,3711.0,Motor Vehicles & Passenger Car Bodies,operating,NYSE,NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Autonomous Driving | Electric Vehicles,福特汽车,12.63,50659968956
STLA,1605484,Stellantis N.V.,Stellantis N.V.,3711.0,Motor Vehicles & Passenger Car Bodies,other,NYSE,NYSE,P7,Netherlands,insiderTransactionForOwnerExists,Auto Manufacturers,Auto Manufacturers,Electric Vehicles,Stellantis集团,8.5,31993084193
HMC,715153,HONDA MOTOR CO LTD,HONDA MOTOR CO LTD,3711.0,Motor Vehicles & Passenger Car Bodies,other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Japanese Companies | Electric Vehicles,本田汽车,24.62,31944873045
RIVN,1874178,"Rivian Automotive, Inc. / DE","Rivian Automotive, Inc. / DE",3711.0,Motor Vehicles & Passenger Car Bodies,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,WallStreetBets | Electric Vehicles,Rivian Automotive Inc-A,17.74,22015158857
LI,1791706,Li Auto Inc.,Li Auto Inc.,3711.0,Motor Vehicles & Passenger Car Bodies,other,Nasdaq,Nasdaq|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Intelligent driving concept stocks | Autonomous Driving | China Concept Stocks | Electric Vehicles,理想汽车,18.65,20134522208
XPEV,1810997,XPENG INC.,XPENG INC.,3711.0,Motor Vehicles & Passenger Car Bodies,other,NYSE,NYSE|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Intelligent driving concept stocks | Autonomous Driving | China Concept Stocks | Electric Vehicles,小鹏集团,16.97,16244146271
NIO,1736541,NIO Inc.,NIO Inc.,3711.0,Motor Vehicles & Passenger Car Bodies,other,NYSE,NYSE|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,Intelligent driving concept stocks | Tencent Ecosystem | Autonomous Driving | China Concept Stocks | Electric Vehicles,蔚来,6.48,16236722303
VFS,1913510,VinFast Auto Ltd.,VinFast Auto Ltd.,3711.0,Motor Vehicles & Passenger Car Bodies,other,Nasdaq,Nasdaq|Nasdaq,U0,Singapore,insiderTransactionForIssuerExists,Auto Manufacturers,Auto Manufacturers,,VinFast Auto Ltd,4.69,10972423887
