primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
ORLY,898173,O REILLY AUTOMOTIVE INC,O REILLY AUTOMOTIVE INC,5531.0,Retail-Auto & Home Supply Stores,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,奥莱利,93.92,78582814410
AZO,866787,AUTOZONE INC,AUTOZONE INC,5531.0,Retail-Auto & Home Supply Stores,operating,NYSE,NYSE,NV,NV,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,汽车地带,3589.99,59151619032
MGA,749098,MAGNA INTERNATIONAL INC,MAGNA INTERNATIONAL INC,3714.0,Motor Vehicle Parts & Accessories,other,NYSE,NYSE,,,insiderTransactionForOwnerExists,Auto Parts,Auto Parts,,麦格纳国际,61.38,16967218526
GPC,40987,GENUINE PARTS CO,GENUINE PARTS CO,5013.0,Wholesale-Motor Vehicle Supplies & New Parts,operating,NYSE,NYSE,GA,GA,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,通用配件,111.74,15378166658
MOD,67347,MODINE MANUFACTURING CO,MODINE MANUFACTURING CO,3714.0,Motor Vehicle Parts & Accessories,operating,NYSE,NYSE,WI,WI,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,摩丁制造,253.15,13348902521
APTV,1521332,Aptiv PLC,Aptiv PLC,3714.0,Motor Vehicle Parts & Accessories,operating,NYSE,NYSE,Y9,Jersey,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Auto Parts,Auto Parts,Intelligent driving concept stocks | Tesla Ecosystem,Aptiv PLC,60.86,12971781040
BWA,908255,BORGWARNER INC,BORGWARNER INC,3714.0,Motor Vehicle Parts & Accessories,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,博格华纳,55.81,11500291645
ALSN,1411207,Allison Transmission Holdings Inc,Allison Transmission Holdings Inc,3714.0,Motor Vehicle Parts & Accessories,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,艾里逊变速箱,133.04,11059537904
ALV,1034670,AUTOLIV INC,AUTOLIV INC,3714.0,Motor Vehicle Parts & Accessories,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Auto Parts,Auto Parts,Intelligent driving concept stocks | Tesla Ecosystem,奥托立夫,116.17,8696873975
LKQ,1065696,LKQ CORP,LKQ CORP,5010.0,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,LKQ Corp,31.39,8011014308
MBLY,1910139,Mobileye Global Inc.,Mobileye Global Inc.,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,ARK Portfolio | Intelligent driving concept stocks | Robotics,Mobileye Global Inc-A,7.9,6646913961
LEA,842162,LEAR CORP,LEAR CORP,3714.0,Motor Vehicle Parts & Accessories,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Auto Parts,Auto Parts,,李尔,128.07,6483794639
