primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
JPM,19617,JPMORGAN CHASE & CO,JPMORGAN CHASE & CO,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,Donald Trump | Asset Management,摩根大通,313.02,839588388270
BAC,70858,BANK OF AMERICA CORP /DE/,BANK OF AMERICA CORP /DE/,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|OTC|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,Donald Trump | Asset Management | Warren Buffett Portfolio,美国银行,53.12,378740714660
HSBC,1089113,HSBC HOLDINGS PLC,HSBC HOLDINGS PLC,6035.0,"Savings Institution, Federally Chartered",other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,,汇丰控股,90.47,310919344230
WFC,72971,WELLS FARGO & COMPANY/MN,WELLS FARGO & COMPANY/MN,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE|NYSE|OTC|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,Donald Trump | Asset Management,富国银行,80.58,246921294000
RY,1000275,ROYAL BANK OF CANADA,ROYAL BANK OF CANADA,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC,A6,"Ontario, Canada",insiderTransactionForOwnerExists,Banks - Diversified,Banks - Diversified,,加拿大皇家银行,176.39,246348009678
C,831001,CITIGROUP INC,CITIGROUP INC,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,Asset Management,花旗集团,129.73,221267488000
MUFG,67088,MITSUBISHI UFJ FINANCIAL GROUP INC,MITSUBISHI UFJ FINANCIAL GROUP INC,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,Japanese Companies | Stablecoin concept,三菱日联金融,17.38,197002277302
SAN,891478,"Banco Santander, S.A.","Banco Santander, S.A.",6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC,U3,Spain,insiderTransactionForOwnerExists,Banks - Diversified,Banks - Diversified,,桑坦德银行,12.26,180091057095
TD,947263,TORONTO DOMINION BANK,TORONTO DOMINION BANK,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC,A6,"Ontario, Canada",insiderTransactionForOwnerExists,Banks - Diversified,Banks - Diversified,,道明银行,104.57,174509519533
UBS,1610520,UBS Group AG,UBS Group AG,6021.0,National Commercial Banks,other,NYSE,NYSE,V8,Switzerland,insiderTransactionForOwnerExists,Banks - Diversified,Banks - Diversified,,瑞银集团,42.4,131088045698
SMFG,1022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC.","SUMITOMO MITSUI FINANCIAL GROUP, INC.",6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC,M0,Japan,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Diversified,Banks - Diversified,Japanese Companies | Stablecoin concept,三井住友金融,20.36,129920963248
