primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
HDB,1144967,HDFC BANK LTD,HDFC BANK LTD,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE,K7,India,insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,,HDFC银行,26.1,133148657128
MFG,1335730,MIZUHO FINANCIAL GROUP INC,MIZUHO FINANCIAL GROUP INC,6021.0,National Commercial Banks,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,,瑞穗金融,8.26,102018115742
IBN,1103838,ICICI BANK LTD,ICICI BANK LTD,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE,,,insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,,印度工业信贷投资银行,28.41,101476341756
PNC,713676,"PNC FINANCIAL SERVICES GROUP, INC.","PNC FINANCIAL SERVICES GROUP, INC.",6021.0,National Commercial Banks,operating,NYSE,NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,Asset Management,PNC金融服务集团,225.06,90484364956
USB,36104,US BANCORP DE,US BANCORP \DE\,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,Asset Management,美国合众银行,56.6,88013000000
LYG,1160106,Lloyds Banking Group plc,Lloyds Banking Group plc,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC|OTC,X0,United Kingdom,,Banks - Regional,Banks - Regional,,劳埃德银行(ADR),5.42,79438532359
NU,1691493,Nu Holdings Ltd.,Nu Holdings Ltd.,6199.0,Finance Services,other,NYSE,NYSE,E9,Cayman Islands,insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,ARK Portfolio,Nu Holdings Ltd-A,14.85,72179898729
NWG,844150,NatWest Group plc,NatWest Group plc,6029.0,"Commercial Banks, NEC",other,NYSE,NYSE|OTC,X0,United Kingdom,insiderTransactionForOwnerExists,Banks - Regional,Banks - Regional,,NatWest Group plc ADR,15.97,63725764822
TFC,92230,TRUIST FINANCIAL CORP,TRUIST FINANCIAL CORP,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE|NYSE,NC,NC,insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,,Truist Financial Corp,50.95,63477535050
DB,1159508,DEUTSCHE BANK AKTIENGESELLSCHAFT,DEUTSCHE BANK AKTIENGESELLSCHAFT,6022.0,State Commercial Banks,other,NYSE,NYSE|OTC|OTC|NYSE|NYSE|NYSE|OTC,,,insiderTransactionForIssuerExists,Banks - Regional,Banks - Regional,,德意志银行,32.44,61979182014
