primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
BHP,811809,BHP Group Ltd,BHP Group Ltd,1000.0,Metal Mining,other,NYSE,NYSE|OTC,C3,Australia,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Base Metals & Mining,Other Industrial Metals & Mining,Copper | Tesla Ecosystem,必和必拓(ADR),80.56,204460967226
SCCO,1001838,SOUTHERN COPPER CORP/,SOUTHERN COPPER CORP/,1000.0,Metal Mining,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Base Metals & Mining,Copper,Copper,南方铜业,187.71,155060668846
RIO,863064,RIO TINTO PLC,RIO TINTO PLC,1000.0,Metal Mining,other,NYSE,NYSE|OTC,X0,United Kingdom,insiderTransactionForOwnerExists,Base Metals & Mining,Other Industrial Metals & Mining,Copper,力拓,100.28,125846977351
FCX,831259,FREEPORT-MCMORAN INC,FREEPORT-MCMORAN INC,1000.0,Metal Mining,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Base Metals & Mining,Copper,Copper,自由港麦克莫兰,70.36,101121504998
VALE,917851,Vale S.A.,Vale S.A.,1000.0,Metal Mining,other,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Base Metals & Mining,Other Industrial Metals & Mining,Fed Rate Cut Beneficiaries,淡水河谷,17.51,74759196321
CCJ,1009001,CAMECO CORP,CAMECO CORP,1090.0,Miscellaneous Metal Ores,other,NYSE,NYSE,,,,Base Metals & Mining,Uranium,ARK Portfolio | Nuclear Power,卡梅科,126.47,55081855854
TECK,886986,TECK RESOURCES LTD,TECK RESOURCES LTD,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),other,NYSE,NYSE|OTC,A1,"British Columbia, Canada",,Base Metals & Mining,Other Industrial Metals & Mining,Copper,泰克资源,59.26,29010308106
AA,1675149,Alcoa Corp,Alcoa Corp,3334.0,Primary Production of  Aluminum,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Base Metals & Mining,Aluminum,,美国铝业,68.53,18082503430
MP,1801368,MP Materials Corp. / DE,MP Materials Corp. / DE,1000.0,Metal Mining,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Base Metals & Mining,Other Industrial Metals & Mining,Rare Earth Stocks | Apple Ecosystem,MP Materials Corp-A,69.19,12292810866
HBM,1322422,Hudbay Minerals Inc.,Hudbay Minerals Inc.,1000.0,Metal Mining,other,NYSE,NYSE,,,,Base Metals & Mining,Copper,Copper,Hudbay Minerals Inc,24.69,9806772178
NXE,1698535,NexGen Energy Ltd.,NexGen Energy Ltd.,1090.0,Miscellaneous Metal Ores,other,NYSE,NYSE,A1,"British Columbia, Canada",,Base Metals & Mining,Uranium,Nuclear Power,NexGen Energy Ltd,13.1,8660011315
UEC,1334933,URANIUM ENERGY CORP,URANIUM ENERGY CORP,1090.0,Miscellaneous Metal Ores,operating,NYSE,NYSE,NV,NV,insiderTransactionForIssuerExists,Base Metals & Mining,Uranium,Nuclear Power,Uranium Energy Corp,15.15,7426844862
ALM,1670061,Almonty Industries Inc.,Almonty Industries Inc.,1000.0,Metal Mining,other,Nasdaq,Nasdaq,Z4,Canada (Federal Level),,Base Metals & Mining,Other Industrial Metals & Mining,,Almonty Industries Inc,23.33,6577618929
CENX,949157,CENTURY ALUMINUM CO,CENTURY ALUMINUM CO,3334.0,Primary Production of  Aluminum,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Base Metals & Mining,Aluminum,,世纪铝业,63.09,6244272625
UUUU,1385849,ENERGY FUELS INC,ENERGY FUELS INC,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),operating,NYSE,NYSE,A6,"Ontario, Canada",insiderTransactionForIssuerExists,Base Metals & Mining,Uranium,Rare Earth Stocks | Nuclear Power,Energy Fuels Inc,22.63,5617519081
USAR,1970622,"USA Rare Earth, Inc.","USA Rare Earth, Inc.",1000.0,Metal Mining,operating,Nasdaq,Nasdaq,E9,Cayman Islands,insiderTransactionForIssuerExists,Base Metals & Mining,Other Industrial Metals & Mining,Rare Earth Stocks | Top Gainers Yesterday,USA Rare Earth Inc,25.41,5538774607
EMAT,1866226,Evolution Metals & Technologies Corp.,Evolution Metals & Technologies Corp.,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Base Metals & Mining,Other Industrial Metals & Mining,,Evolution Metals & Technologies,9.29,5512220125
