primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
KO,21344,COCA COLA CO,COCA COLA CO,2080.0,Beverages,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,Warren Buffett Portfolio,可口可乐,74.63,321218929211
PM,1413329,Philip Morris International Inc.,Philip Morris International Inc.,2111.0,Cigarettes,operating,NYSE,NYSE,VA,VA,insiderTransactionForIssuerExists,Beverages & Tobacco,Tobacco,,菲利普莫里斯国际,163.95,255521037439
PEP,77476,PEPSICO INC,PEPSICO INC,2080.0,Beverages,operating,Nasdaq,Nasdaq,NC,NC,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,百事,153.79,210195299164
KOF,910631,COCA COLA FEMSA SAB DE CV,COCA COLA FEMSA SAB DE CV,2086.0,Bottled & Canned Soft Drinks & Carbonated Waters,other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,可口可乐凡萨瓶装,100.35,168654813993
BUD,1668717,Anheuser-Busch InBev SA/NV,Anheuser-Busch InBev SA/NV,2082.0,Malt Beverages,other,NYSE,NYSE|OTC,C9,Belgium,,Beverages & Tobacco,Beverages - Brewers,,百威英博,72.16,140766280123
BTI,1303523,British American Tobacco p.l.c.,British American Tobacco p.l.c.,2111.0,Cigarettes,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists,Beverages & Tobacco,Tobacco,,英美烟草,56.17,121995615473
MO,764180,"ALTRIA GROUP, INC.","ALTRIA GROUP, INC.",2111.0,Cigarettes,operating,NYSE,NYSE,VA,VA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Beverages & Tobacco,Tobacco,,奥驰亚集团,65.18,108936218102
MNST,865752,Monster Beverage Corp,Monster Beverage Corp,2086.0,Bottled & Canned Soft Drinks & Carbonated Waters,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,怪物饮料,75.95,74271962371
ABEV,1565025,AMBEV S.A.,AMBEV S.A.,2080.0,Beverages,other,NYSE,NYSE,D5,Brazil,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Brewers,,Ambev SA ADR,3.01,47448631316
DEO,835403,DIAGEO PLC,DIAGEO PLC,2080.0,Beverages,other,NYSE,NYSE|OTC,X0,United Kingdom,insiderTransactionForOwnerExists,Beverages & Tobacco,Beverages - Wineries & Distilleries,Warren Buffett Portfolio,帝亚吉欧(ADR),79.95,44501212908
CCEP,1650107,COCA-COLA EUROPACIFIC PARTNERS plc,COCA-COLA EUROPACIFIC PARTNERS plc,2086.0,Bottled & Canned Soft Drinks & Carbonated Waters,other,Nasdaq,Nasdaq,X0,United Kingdom,,Beverages & Tobacco,Beverages - Non-Alcoholic,,可口可乐欧洲太平洋合伙,96.19,43198069350
FMX,1061736,MEXICAN ECONOMIC DEVELOPMENT INC,MEXICAN ECONOMIC DEVELOPMENT INC,2086.0,Bottled & Canned Soft Drinks & Carbonated Waters,other,NYSE,NYSE,O5,Mexico,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Brewers,,Fomento Económico Mexicano SAB,113.6,39413173827
KDP,1418135,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,2080.0,Beverages,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,Keurig Dr Pepper Inc,26.54,36058997206
STZ,16918,"CONSTELLATION BRANDS, INC.","CONSTELLATION BRANDS, INC.",2080.0,Beverages,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Brewers,Warren Buffett Portfolio,星座品牌-A,156.88,27014495503
COKE,317540,"Coca-Cola Consolidated, Inc.","Coca-Cola Consolidated, Inc.",2086.0,Bottled & Canned Soft Drinks & Carbonated Waters,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,可口可乐装瓶,187.3,12467492266
CELH,1341766,"Celsius Holdings, Inc.","Celsius Holdings, Inc.",2086.0,Bottled & Canned Soft Drinks & Carbonated Waters,operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,燃力士控股,33.26,8544363455
TAP,24545,MOLSON COORS BEVERAGE CO,MOLSON COORS BEVERAGE CO,2082.0,Malt Beverages,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Brewers,,摩森康胜-B,42.7,7609241541
PRMB,2042694,Primo Brands Corp,Primo Brands Corp,2080.0,Beverages,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Beverages & Tobacco,Beverages - Non-Alcoholic,,Primo Brands Corp-A,20.08,7292592674
