primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
VRTX,875320,VERTEX PHARMACEUTICALS INC / MA,VERTEX PHARMACEUTICALS INC / MA,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,MA,MA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Biotechnology,Biotechnology,ARK Portfolio | Gene Editing,福泰制药,437.67,111325625217
REGN,872589,"REGENERON PHARMACEUTICALS, INC.","REGENERON PHARMACEUTICALS, INC.",2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,NY,NY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Biotechnology,Biotechnology,ARK Portfolio | Infectious Disease,再生元制药,746.58,78928292763
ARGX,1697862,ARGENX SE,ARGENX SE,2836.0,"Biological Products, (No Diagnostic Substances)",other,Nasdaq,Nasdaq,P7,Netherlands,,Biotechnology,Biotechnology,,argenx SE ADR,793.22,49229524019
ALNY,1178670,"ALNYLAM PHARMACEUTICALS, INC.","ALNYLAM PHARMACEUTICALS, INC.",2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Biotechnology,Biotechnology,,Alnylam Pharmaceuticals Inc,310.58,41440040288
ONC,1651308,BeOne Medicines Ltd.,BeOne Medicines Ltd.,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Biotechnology,Biotechnology,,百济神州,312.41,34659722096
INSM,1104506,INSMED Inc,INSMED Inc,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,VA,VA,insiderTransactionForIssuerExists,Biotechnology,Biotechnology,,Insmed Inc,144.48,31186318488
RVMD,1628171,"Revolution Medicines, Inc.","Revolution Medicines, Inc.",2836.0,"Biological Products, (No Diagnostic Substances)",operating,Nasdaq,Nasdaq|Nasdaq,DE,DE,insiderTransactionForIssuerExists,Biotechnology,Biotechnology,,Revolution Medicines Inc,141.5,29536254087
RPRX,1802768,Royalty Pharma plc,Royalty Pharma plc,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,X0,United Kingdom,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Biotechnology,Biotechnology,,Royalty Pharma plc-A,49.72,28685316938
BNTX,1776985,BioNTech SE,BioNTech SE,2836.0,"Biological Products, (No Diagnostic Substances)",other,Nasdaq,Nasdaq,2M,Germany,insiderTransactionForIssuerExists,Biotechnology,Biotechnology,Infectious Disease,BioNTech SE ADR,108.6,27463230745
MRNA,1682852,"Moderna, Inc.","Moderna, Inc.",2836.0,"Biological Products, (No Diagnostic Substances)",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Biotechnology,Biotechnology,Infectious Disease,Moderna Inc,55.6,22050229527
