primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
CRH,849395,CRH PUBLIC LTD CO,CRH PUBLIC LTD CO,3241.0,"Cement, Hydraulic",operating,NYSE,NYSE,L2,Ireland,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,CRH水泥,116.09,77710628470
VMC,1396009,Vulcan Materials CO,Vulcan Materials CO,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),operating,NYSE,NYSE,NJ,NJ,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,火神材料,290.11,37848403638
MLM,916076,MARTIN MARIETTA MATERIALS INC,MARTIN MARIETTA MATERIALS INC,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),operating,NYSE,NYSE,NC,NC,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,马丁-玛丽埃塔材料,610.64,36666428376
AMRZ,2035989,Amrize Ltd,Amrize Ltd,3241.0,"Cement, Hydraulic",operating,NYSE,NYSE,V8,Switzerland,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,Amrize Ltd,56.58,31314207846
CX,1076378,CEMEX SAB DE CV,CEMEX SAB DE CV,3241.0,"Cement, Hydraulic",other,NYSE,NYSE|OTC,O5,Mexico,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,西麦斯,11.77,17076302348
JHX,1159152,James Hardie Industries plc,James Hardie Industries plc,3272.0,"Concrete Products, Except Block & Brick",other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,詹姆斯哈迪,22.32,12949414265
SSD,920371,"Simpson Manufacturing Co., Inc.","Simpson Manufacturing Co., Inc.",3420.0,"Cutlery, Handtools & General Hardware",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Building Materials & Wood Products,Lumber & Wood Production,,Simpson Manufacturing Co Inc,185.47,7640254518
EXP,918646,EAGLE MATERIALS INC,EAGLE MATERIALS INC,3241.0,"Cement, Hydraulic",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,Eagle Materials Inc,204.07,6414356402
UFPI,912767,UFP INDUSTRIES INC,UFP INDUSTRIES INC,2421.0,"Sawmills & Planting Mills, General",operating,Nasdaq,Nasdaq,MI,MI,insiderTransactionForIssuerExists,Building Materials & Wood Products,Lumber & Wood Production,,UFP Industries Inc,95.78,5440293943
WFG,1402388,"WEST FRASER TIMBER CO., LTD","WEST FRASER TIMBER CO., LTD",2421.0,"Sawmills & Planting Mills, General",other,NYSE,NYSE,A1,"British Columbia, Canada",,Building Materials & Wood Products,Lumber & Wood Production,,West Fraser Timber Co Ltd,65.02,5091054426
KNF,1955520,Knife River Corp,Knife River Corp,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Building Materials & Wood Products,Building Materials,,Knife River Holding Co,88.79,5039174785
