primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
TT,1466258,Trane Technologies plc,Trane Technologies plc,3822.0,Auto Controls For Regulating Residential & Comml Environments,operating,NYSE,NYSE,L2,Ireland,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,特灵科技,477.19,105617371747
JCI,833444,Johnson Controls International plc,Johnson Controls International plc,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,operating,NYSE,NYSE,L2,Ireland,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,Energy Storage Concept | Internet of Things,江森自控,139.81,85572976261
CARR,1783180,CARRIER GLOBAL Corp,CARRIER GLOBAL Corp,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,Artificial Intelligence,Carrier Global Corp,60.65,50669031161
LII,1069202,LENNOX INTERNATIONAL INC,LENNOX INTERNATIONAL INC,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,雷诺士,489.76,17052407358
MAIR,2098430,Madison Air Solutions Corp,Madison Air Solutions Corp,3564.0,Industrial & Commercial Fans & Blowers & Air Purifing Equip,other,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,Madison Air Solutions Corp-A,34.64,16934253325
MAS,62996,MASCO CORP /DE/,MASCO CORP /DE/,3430.0,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,马斯可木业,73.96,14920278961
CSL,790051,CARLISLE COMPANIES INC,CARLISLE COMPANIES INC,3060.0,"Fabricated Rubber Products, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,卡莱尔伙伴,353.5,14450470566
ALLE,1579241,Allegion plc,Allegion plc,7381.0,"Services-Detective, Guard & Armored Car Services",operating,NYSE,NYSE,L2,Ireland,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Security & Protection Services,,安朗杰,144.93,12454668972
WMS,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.","ADVANCED DRAINAGE SYSTEMS, INC.",3086.0,Plastics Foam Products,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,Advanced Drainage Systems Inc,153.82,11981898885
SPXC,88205,"SPX Technologies, Inc.","SPX Technologies, Inc.",3540.0,Metalworkg Machinery & Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,SPX Technologies Inc,220.62,11069998997
OC,1370946,Owens Corning,Owens Corning,3290.0,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,欧文斯科宁,122.88,9877483315
BLDR,1316835,"Builders FirstSource, Inc.","Builders FirstSource, Inc.",5211.0,Retail-Lumber & Other Building Materials Dealers,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,Donald Trump,Builders FirstSource Inc,90.63,9744118164
AAON,824142,"AAON, INC.","AAON, INC.",3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,艾伦建材,96.86,7927381944
AWI,7431,ARMSTRONG WORLD INDUSTRIES INC,ARMSTRONG WORLD INDUSTRIES INC,3089.0,"Plastics Products, NEC",operating,NYSE,NYSE,PA,PA,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,,阿姆斯特朗,176.74,7570489820
MSA,66570,MSA Safety Inc,MSA Safety Inc,3842.0,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",operating,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Security & Protection Services,,MSA Safety Inc,170.1,6595577831
ADT,1703056,ADT Inc.,ADT Inc.,7381.0,"Services-Detective, Guard & Armored Car Services",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Security & Protection Services,Internet of Things,ADT Inc,7.29,5839513934
LPX,60519,LOUISIANA-PACIFIC CORP,LOUISIANA-PACIFIC CORP,2400.0,Lumber & Wood Products (No Furniture),operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Building Products, Equipment & Security",Building Products & Equipment,Warren Buffett Portfolio,路易斯安那太平洋,73.75,5151322450
