primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
MS,895421,MORGAN STANLEY,MORGAN STANLEY,6211.0,"Security Brokers, Dealers & Flotation Companies",operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Donald Trump | Asset Management,摩根士丹利,191.05,301859000000
GS,886982,GOLDMAN SACHS GROUP INC,GOLDMAN SACHS GROUP INC,6211.0,"Security Brokers, Dealers & Flotation Companies",operating,NYSE,NYSE|NYSE|NYSE|NYSE|OTC,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Donald Trump | Asset Management,高盛,934.84,275772136739
SCHW,316709,SCHWAB CHARLES CORP,SCHWAB CHARLES CORP,6211.0,"Security Brokers, Dealers & Flotation Companies",operating,NYSE,NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Asset Management,嘉信理财,91.71,159401099734
HOOD,1783879,"Robinhood Markets, Inc.","Robinhood Markets, Inc.",6211.0,"Security Brokers, Dealers & Flotation Companies",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Crypto | ARK Portfolio | Stablecoin concept | Prediction Market | WallStreetBets,Robinhood Markets Inc-A,88.43,79660599051
IBKR,1381197,"Interactive Brokers Group, Inc.","Interactive Brokers Group, Inc.",6211.0,"Security Brokers, Dealers & Flotation Companies",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Nancy Pelosi Portfolio | Prediction Market,盈透证券,78.11,34807134262
IX,1070304,ORIX CORP,ORIX CORP,6159.0,Miscellaneous Business Credit Institution,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Financial Conglomerates,,欧力士,30.52,33883772848
TW,1758730,Tradeweb Markets Inc.,Tradeweb Markets Inc.,6200.0,"Security & Commodity Brokers, Dealers, Exchanges & Services",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Prediction Market,Tradeweb Markets Inc-A,114.04,26916407435
LPLA,1397911,LPL Financial Holdings Inc.,LPL Financial Holdings Inc.,6200.0,"Security & Commodity Brokers, Dealers, Exchanges & Services",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,,LPL Financial Holdings Inc,327.78,26284048862
CRCL,1876042,"Circle Internet Group, Inc.","Circle Internet Group, Inc.",6199.0,Finance Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Crypto | Stablecoin concept,Circle Internet Group Inc-A,104.36,25798879431
NMR,1163653,NOMURA HOLDINGS INC,NOMURA HOLDINGS INC,6211.0,"Security Brokers, Dealers & Flotation Companies",other,NYSE,NYSE|OTC,M0,Japan,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,,野村控股,8.32,24142280390
FUTU,1754581,Futu Holdings Ltd,Futu Holdings Ltd,6211.0,"Security Brokers, Dealers & Flotation Companies",other,Nasdaq,Nasdaq,E9,Cayman Islands,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Tencent Ecosystem | China Concept Stocks,富途控股,160.8,22543273611
IREN,1878848,IREN Ltd,IREN Ltd,6199.0,Finance Services,operating,Nasdaq,Nasdaq,C3,Australia,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Crypto | Crypto Mining | Blockchain,IREN Ltd,48.39,16079047830
EVR,1360901,Evercore Inc.,Evercore Inc.,6282.0,Investment Advice,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Donald Trump,Evercore Inc-A,352.01,13941548951
BMNR,1829311,"BITMINE IMMERSION TECHNOLOGIES, INC.","BITMINE IMMERSION TECHNOLOGIES, INC.",6199.0,Finance Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Crypto | ETH-Holding Companies | Crypto Treasury,BitMine Immersion Technologies ,23.31,12532127771
SF,720672,STIFEL FINANCIAL CORP,STIFEL FINANCIAL CORP,6211.0,"Security Brokers, Dealers & Flotation Companies",operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,,Stifel Financial Corp,77.37,11992350000
HLI,1302215,"HOULIHAN LOKEY, INC.","HOULIHAN LOKEY, INC.",6282.0,Investment Advice,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,,华利安,160.64,11210310431
XP,1787425,XP Inc.,XP Inc.,6211.0,"Security Brokers, Dealers & Flotation Companies",other,Nasdaq,Nasdaq,E9,Cayman Islands,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,,XP Inc-A,20.38,10568397987
GLXY,1859392,Galaxy Digital Inc.,Galaxy Digital Inc.,6211.0,"Security Brokers, Dealers & Flotation Companies",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Crypto | Crypto Treasury | Crypto Mining,Galaxy Digital Inc-A,26.8,10458943049
WULF,1083301,TERAWULF INC.,TERAWULF INC.,6199.0,Finance Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Capital Markets & Diversified Financials,Capital Markets,Crypto | Crypto Mining | Blockchain,TeraWulf Inc,20.55,9921169278
