primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
LIN,1707925,LINDE PLC,LINDE PLC,2810.0,Industrial Inorganic Chemicals,operating,Nasdaq,Nasdaq,L2,Ireland,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Hydrogen Energy,Linde plc,494.62,229204017441
SHW,89800,SHERWIN WILLIAMS CO,SHERWIN WILLIAMS CO,5200.0,"Retail-Building Materials, Hardware, Garden Supply",operating,NYSE,NYSE,OH,OH,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Dividend Aristocrats,宣伟,335.15,82903490932
ECL,31462,ECOLAB INC.,ECOLAB INC.,2840.0,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Dividend Aristocrats,艺康,268.93,75952223928
APD,2969,"Air Products & Chemicals, Inc.","Air Products & Chemicals, Inc.",2810.0,Industrial Inorganic Chemicals,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Hydrogen Energy,空气化工,296.76,66075396934
DOW,1751788,DOW INC.,DOW INC.,2821.0,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Chemicals,Chemicals,,陶氏,38.81,27928427866
PPG,79879,PPG INDUSTRIES INC,PPG INDUSTRIES INC,2851.0,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",operating,NYSE,NYSE,PA,PA,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,PPG工业,111.67,24991595246
SQM,909037,CHEMICAL & MINING CO OF CHILE INC,CHEMICAL & MINING CO OF CHILE INC,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),other,NYSE,NYSE,F3,Chile,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Lithium mining stocks | Lithium Battery,智利矿业化工,86.95,24836207406
LYB,1489393,LyondellBasell Industries N.V.,LyondellBasell Industries N.V.,2860.0,Industrial Organic Chemicals,operating,NYSE,NYSE,P7,Netherlands,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,利安德巴塞尔工业,72.0,23239388592
ALB,915913,ALBEMARLE CORP,ALBEMARLE CORP,2821.0,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",operating,NYSE,NYSE|NYSE,VA,VA,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Lithium mining stocks | Lithium Battery,美国雅保,194.22,22895991193
DD,1666700,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.",2821.0,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,Brain-Computer Interface | ARK Portfolio,陶氏杜邦,45.98,18846153012
IFF,51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,INTERNATIONAL FLAVORS & FRAGRANCES INC,2860.0,Industrial Organic Chemicals,operating,NYSE,NYSE,NY,NY,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,国际香料香精,71.17,18179509721
WLK,1262823,WESTLAKE CORP,WESTLAKE CORP,2860.0,Industrial Organic Chemicals,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,Westlake Corp,114.28,14637381237
RPM,110621,RPM INTERNATIONAL INC/DE/,RPM INTERNATIONAL INC/DE/,2851.0,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,RPM International Inc,106.52,13594777656
SOLS,2064953,Solstice Advanced Materials Inc.,Solstice Advanced Materials Inc.,2800.0,Chemicals & Allied Products,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,Solstice Advanced Materials Inc,81.34,12916428492
ESI,1590714,Element Solutions Inc,Element Solutions Inc,2890.0,Miscellaneous Chemical Products,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,Element Solutions Inc,38.15,9293164167
SSL,314590,SASOL LTD,SASOL LTD,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE|OTC,T3,South Africa,insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,,南非萨索尔,13.17,8552270120
EMN,915389,EASTMAN CHEMICAL CO,EASTMAN CHEMICAL CO,2821.0,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Chemicals,Specialty Chemicals,ARK Portfolio,伊士曼化工,72.53,8293799045
CE,1306830,Celanese Corp,Celanese Corp,2820.0,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Chemicals,Chemicals,,塞拉尼斯,65.48,7174772727
