primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
PLD,1045609,"Prologis, Inc.","Prologis, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|OTC,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,安博,141.42,131836062200
EQIX,1101239,EQUINIX INC,EQUINIX INC,6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,Data Center,易昆尼克斯,1102.28,108710697250
AMT,1053507,AMERICAN TOWER CORP /MA/,AMERICAN TOWER CORP /MA/,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,,美国电塔,176.31,82225706689
DLR,1297996,"DIGITAL REALTY TRUST, INC.","DIGITAL REALTY TRUST, INC.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE|NYSE|NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,Data Center,数字房地产信托,200.86,70091194298
SPG,1063761,SIMON PROPERTY GROUP INC.,SIMON PROPERTY GROUP INC.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE,IN,IN,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,Asset Management,西蒙地产,201.68,65515382152
O,726728,REALTY INCOME CORP,REALTY INCOME CORP,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,Realty Income Corp,63.34,59061423158
PSA,1393311,Public Storage,Public Storage,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,大众仓储,304.81,53507042062
CCI,1051470,CROWN CASTLE INC.,CROWN CASTLE INC.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,5G,冠城,86.01,37500360000
IRM,1020569,IRON MOUNTAIN INC,IRON MOUNTAIN INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,Data Center,铁山,117.23,34873441717
VICI,1705696,VICI PROPERTIES INC.,VICI PROPERTIES INC.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Diversified,,VICI Properties Inc,28.2,30145489772
EXR,1289490,Extra Space Storage Inc.,Extra Space Storage Inc.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,Extra Space Storage Inc,141.29,29840069343
SBAC,1034054,SBA COMMUNICATIONS CORP,SBA COMMUNICATIONS CORP,6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq,FL,FL,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,,SBA通信-A,211.86,22470381547
WY,106535,WEYERHAEUSER CO,WEYERHAEUSER CO,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,WA,WA,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,,惠好,24.77,17860225425
WPC,1025378,W. P. Carey Inc.,W. P. Carey Inc.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Diversified,,W. P. Carey Inc,72.87,15979543376
KIM,879101,KIMCO REALTY CORP,KIMCO REALTY CORP,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE|NYSE|NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,金克地产,23.57,15895683707
REG,910606,REGENCY CENTERS CORP,REGENCY CENTERS CORP,6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq|Nasdaq|Nasdaq,FL,FL,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,Regency Centers Corp,79.0,14463586151
LAMR,1090425,LAMAR ADVERTISING CO/NEW,LAMAR ADVERTISING CO/NEW,6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,Warren Buffett Portfolio,拉马尔户外广告,133.55,13547517801
GLPI,1575965,"Gaming & Leisure Properties, Inc.","Gaming & Leisure Properties, Inc.",6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq,PA,PA,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Specialty,,Gaming and Leisure Properties I,46.12,13062191307
EGP,49600,EASTGROUP PROPERTIES INC,EASTGROUP PROPERTIES INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,EastGroup Properties Inc,200.87,10797812849
FRT,34903,FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY INVESTMENT TRUST,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,FRT信托,110.13,9513933898
BRX,1581068,Brixmor Property Group Inc.,Brixmor Property Group Inc.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,Brixmor Property Group Inc,30.18,9260319142
BXP,1037540,"BXP, Inc.","BXP, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Office,,BXP Inc,58.29,9249221825
ADC,917251,AGREE REALTY CORP,AGREE REALTY CORP,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,艾格里不动产,76.67,9208289420
CUBE,1298675,CubeSmart,CubeSmart,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,CubeSmart,39.09,8911066126
FR,921825,FIRST INDUSTRIAL REALTY TRUST INC,FIRST INDUSTRIAL REALTY TRUST INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,第一工业地产信托,63.35,8398336360
NNN,751364,"NNN REIT, INC.","NNN REIT, INC.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Retail,,NNN REIT Inc,43.62,8298940068
REXR,1571283,"Rexford Industrial Realty, Inc.","Rexford Industrial Realty, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE|NYSE,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,Rexford Industrial Realty Inc,36.26,8205153240
LINE,1868159,"Lineage, Inc.","Lineage, Inc.",6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq,MD,MD,insiderTransactionForIssuerExists,Commercial & Specialized REITs,REIT - Industrial,,Lineage Inc,35.96,8165808523
