primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
CSCO,858877,"CISCO SYSTEMS, INC.","CISCO SYSTEMS, INC.",3576.0,Computer Communications Equipment,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,5G | Remote Work | Star Tech Companies | AI Chip | Cybersecurity,思科,89.8,354700395172
MSI,68505,"Motorola Solutions, Inc.","Motorola Solutions, Inc.",3663.0,Radio & Tv Broadcasting & Communications Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,,摩托罗拉解决方案,441.66,73405486834
CIEN,936395,CIENA CORP,CIENA CORP,3661.0,Telephone & Telegraph Apparatus,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Optical Communication | 5G,Ciena科技,498.97,70553573120
LITE,1633978,Lumentum Holdings Inc.,Lumentum Holdings Inc.,3669.0,"Communications Equipment, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Optical Communication,Lumentum Holdings Inc,873.6,62375040000
UI,1511737,Ubiquiti Inc.,Ubiquiti Inc.,3663.0,Radio & Tv Broadcasting & Communications Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,,优倍快,1004.73,60807057356
NOK,924613,NOKIA CORP,NOKIA CORP,3663.0,Radio & Tv Broadcasting & Communications Equipment,other,NYSE,NYSE|OTC,H9,Finland,,Communication Equipment,Communication Equipment,NVIDIA Portfolio | Optical Communication,诺基亚,9.86,56618483403
ERIC,717826,ERICSSON LM TELEPHONE CO,ERICSSON LM TELEPHONE CO,3663.0,Radio & Tv Broadcasting & Communications Equipment,other,Nasdaq,Nasdaq|OTC,V7,Sweden,,Communication Equipment,Communication Equipment,5G,爱立信,11.47,38669404400
HPE,1645590,Hewlett Packard Enterprise Co,Hewlett Packard Enterprise Co,3570.0,Computer & office Equipment,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,5G,慧与,28.51,37828610077
ASTS,1780312,"AST SpaceMobile, Inc.","AST SpaceMobile, Inc.",4899.0,"Communications Services, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Space,AST SpaceMobile Inc-A,84.66,32341409202
AAOI,1158114,"APPLIED OPTOELECTRONICS, INC.","APPLIED OPTOELECTRONICS, INC.",3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Optical Communication,应用光电,149.42,11960721805
ZBRA,877212,ZEBRA TECHNOLOGIES CORP,ZEBRA TECHNOLOGIES CORP,3560.0,General Industrial Machinery & Equipment,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Robotics,斑马技术,231.1,11176598709
VIAV,912093,VIAVI SOLUTIONS INC.,VIAVI SOLUTIONS INC.,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Optical Communication,Viavi Solutions Inc,44.31,10252861877
VSAT,797721,VIASAT INC,VIASAT INC,4899.0,"Communications Services, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Space,卫讯公司,63.08,8568244775
ONDS,1646188,Ondas Inc.,Ondas Inc.,3663.0,Radio & Tv Broadcasting & Communications Equipment,operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,Drone concept stocks,Ondas Inc,11.06,5329630293
BDC,913142,BELDEN INC.,BELDEN INC.,3357.0,Drawing & Insulating of  Nonferrous Wire,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Communication Equipment,Communication Equipment,,百通公司,131.47,5118574887
