primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
AAPL,320193,Apple Inc.,Apple Inc.,3571.0,Electronic Computers,operating,Nasdaq,Nasdaq,CA,CA,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Consumer Electronics,Nancy Pelosi Portfolio | Duan Yongping chicang gainian | Virtual Reality | ARK Portfolio | AI PC | Fed Rate Cut Beneficiaries | AI glasses concept stocks | BATMMAAN | DeepSeek Beneficiaries | Streaming Services | 5G | Autonomous Driving | Star Tech Companies | Metaverse | ESG Investing | Wireless Charging | Smart Home | Facial Recognition | Digital Music | Warren Buffett Portfolio,苹果,273.17,4010447013800
ANET,1596532,"Arista Networks, Inc.","Arista Networks, Inc.",3576.0,Computer Communications Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Artificial Intelligence,Arista Networks Inc,177.73,223792184216
SNDK,2023554,Sandisk Corp,Sandisk Corp,3572.0,Computer Storage Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Data storage stock,闪迪,979.07,144511683656
DELL,1571996,Dell Technologies Inc.,Dell Technologies Inc.,3571.0,Electronic Computers,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Artificial Intelligence | AI PC | 5G,戴尔科技,214.65,138609905007
WDC,106040,WESTERN DIGITAL CORP,WESTERN DIGITAL CORP,3572.0,Computer Storage Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Data storage stock,西部数据,389.1,131919655450
STX,1137789,Seagate Technology Holdings plc,Seagate Technology Holdings plc,3572.0,Computer Storage Devices,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Data storage stock,希捷科技,579.88,129907835035
SONY,313838,Sony Group Corp,Sony Group Corp,3651.0,Household Audio & Video Equipment,other,NYSE,NYSE|OTC,M0,Japan,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Consumer Electronics,Japanese Companies | Virtual Reality | AI glasses concept stocks | Intelligent driving concept stocks | Stablecoin concept | Metaverse | Digital Music,索尼,20.84,123115785573
HPQ,47217,HP INC,HP INC,3570.0,Computer & office Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,ARK Portfolio | AI PC,惠普,20.44,18693406068
SNX,1177394,TD SYNNEX CORP,TD SYNNEX CORP,5045.0,Wholesale-Computers & Peripheral Equipment & Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Electronics & Computer Distribution,,新聚思,223.29,17950527156
SMCI,1375365,"Super Micro Computer, Inc.","Super Micro Computer, Inc.",3571.0,Electronic Computers,operating,Nasdaq,Nasdaq,CA,CA,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Artificial Intelligence,超微电脑,29.18,17522063359
IONQ,1824920,"IonQ, Inc.","IonQ, Inc.",7373.0,Services-Computer Integrated Systems Design,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Quantum Computing,IonQ Inc,47.36,17364106204
LOGI,1032975,LOGITECH INTERNATIONAL S.A.,LOGITECH INTERNATIONAL S.A.,3577.0,"Computer Peripheral Equipment, NEC",operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,AI PC,罗技,98.01,14367182597
ARW,7536,"ARROW ELECTRONICS, INC.","ARROW ELECTRONICS, INC.",5065.0,"Wholesale-Electronic Parts & Equipment, NEC",operating,NYSE,NYSE,NY,NY,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Electronics & Computer Distribution,,艾睿电子,181.54,9273802068
QBTS,1907982,D-Wave Quantum Inc.,D-Wave Quantum Inc.,7374.0,Services-Computer Processing & Data Preparation,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Quantum Computing,D-Wave Quantum Inc,21.24,7789506645
AVT,8858,AVNET INC,AVNET INC,5065.0,"Wholesale-Electronic Parts & Equipment, NEC",operating,Nasdaq,Nasdaq,NY,NY,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Electronics & Computer Distribution,,安富利,75.63,6191296194
RGTI,1838359,"Rigetti Computing, Inc.","Rigetti Computing, Inc.",7371.0,Services-Computer Programming Services,operating,Nasdaq,Nasdaq|Nasdaq,DE,DE,insiderTransactionForIssuerExists,Computer Hardware & Consumer Electronics,Computer Hardware,Quantum Computing,Rigetti Computing Inc,18.38,6104927238
LPL,1290109,"LG Display Co., Ltd.","LG Display Co., Ltd.",3679.0,"Electronic Components, NEC",other,NYSE,NYSE,M5,"Korea, Republic of",,Computer Hardware & Consumer Electronics,Consumer Electronics,OLED Technology,LG Display Co Ltd ADR,5.37,5370000000
