primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
V,1403161,VISA INC.,VISA INC.,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Credit Services,Credit Services,Nancy Pelosi Portfolio | Black Friday | Stablecoin concept | Credit Card Payment | Digital Payment | Warren Buffett Portfolio,维萨,311.29,565045038498
MA,1141391,Mastercard Inc,Mastercard Inc,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Credit Services,Credit Services,Black Friday | ESG Investing | Credit Card Payment | Digital Payment | Warren Buffett Portfolio,万事达,510.16,454966968580
AXP,4962,AMERICAN EXPRESS CO,AMERICAN EXPRESS CO,6199.0,Finance Services,operating,NYSE,NYSE,NY,NY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Credit Services,Credit Services,Nancy Pelosi Portfolio | Black Friday | Credit Card Payment | Digital Payment | Warren Buffett Portfolio,美国运通,332.9,228297315831
COF,927628,CAPITAL ONE FINANCIAL CORP,CAPITAL ONE FINANCIAL CORP,6021.0,National Commercial Banks,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Credit Services,Credit Services,Black Friday | Credit Card Payment | Asset Management | Warren Buffett Portfolio,第一资本金融,199.43,122828937000
PYPL,1633917,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Credit Services,Credit Services,ARK Portfolio | Santa Rally | Black Friday | Stablecoin concept | Credit Card Payment | Blockchain | Digital Payment,PayPal Holdings Inc,51.22,46081300795
SYF,1601712,Synchrony Financial,Synchrony Financial,6199.0,Finance Services,operating,NYSE,NYSE|NYSE|NYSE,NY,NY,insiderTransactionForIssuerExists,Credit Services,Credit Services,Credit Card Payment,Synchrony Financial,78.69,26502792000
SOFI,1818874,"SoFi Technologies, Inc.","SoFi Technologies, Inc.",6199.0,Finance Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Credit Services,Credit Services,Crypto | ARK Portfolio | Stablecoin concept,SoFi Technologies Inc,19.06,24306528981
AFRM,1820953,"Affirm Holdings, Inc.","Affirm Holdings, Inc.",6141.0,Personal Credit Institutions,operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForIssuerExists,Credit Services,Credit Services,Santa Rally | Digital Payment,Affirm Holdings Inc-A,66.58,22178507144
ALLY,40729,Ally Financial Inc.,Ally Financial Inc.,6022.0,State Commercial Banks,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Credit Services,Credit Services,Warren Buffett Portfolio,Ally Financial Inc,45.72,14054693760
FCFS,840489,"FirstCash Holdings, Inc.","FirstCash Holdings, Inc.",5900.0,Retail-Miscellaneous Retail,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Credit Services,Credit Services,,第一富金融服务,205.63,9044573038
OMF,1584207,"OneMain Holdings, Inc.","OneMain Holdings, Inc.",6141.0,Personal Credit Institutions,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Credit Services,Credit Services,,OneMain Holdings Inc,59.71,6995149741
CACC,885550,CREDIT ACCEPTANCE CORP,CREDIT ACCEPTANCE CORP,6141.0,Personal Credit Institutions,operating,Nasdaq,Nasdaq,MI,MI,insiderTransactionForIssuerExists,Credit Services,Credit Services,,Credit Acceptance Corp,526.76,5661448970
NNI,1258602,NELNET INC,NELNET INC,6141.0,Personal Credit Institutions,operating,NYSE,NYSE,NE,NE,insiderTransactionForIssuerExists,Credit Services,Credit Services,,Nelnet Inc-A,139.81,5032038304
