primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
TMO,97745,THERMO FISHER SCIENTIFIC INC.,THERMO FISHER SCIENTIFIC INC.,3829.0,"Measuring & Controlling Devices, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,Infectious Disease | Robotics,赛默飞世尔科技,513.98,191005947641
DHR,313616,DANAHER CORP /DE/,DANAHER CORP /DE/,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,,丹纳赫,184.04,130258106193
IDXX,874716,IDEXX LABORATORIES INC /DE,IDEXX LABORATORIES INC /DE,2835.0,In Vitro & In Vivo Diagnostic Substances,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,,IDEXX实验室,578.35,45935182131
A,1090872,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",3826.0,Laboratory Analytical Instruments,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,Gene Editing,安捷伦,120.47,34045101129
WAT,1000697,WATERS CORP /DE/,WATERS CORP /DE/,3826.0,Laboratory Analytical Instruments,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,,沃特世,334.38,32824576881
NTRA,1604821,"Natera, Inc.","Natera, Inc.",8071.0,Services-Medical Laboratories,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,ARK Portfolio,Natera Inc,207.78,29448919125
IQV,1478242,IQVIA HOLDINGS INC.,IQVIA HOLDINGS INC.,8731.0,Services-Commercial Physical & Biological Research,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,CRO,艾昆纬,175.21,29411861256
MTD,1037646,METTLER TOLEDO INTERNATIONAL INC/,METTLER TOLEDO INTERNATIONAL INC/,3826.0,Laboratory Analytical Instruments,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,,梅特勒-托利多,1310.07,26526958945
DGX,1022079,QUEST DIAGNOSTICS INC,QUEST DIAGNOSTICS INC,8071.0,Services-Medical Laboratories,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,Infectious Disease | CRO | Mpox (monkeypox),奎斯特诊疗,204.0,22582071516
LH,920148,LABCORP HOLDINGS INC.,LABCORP HOLDINGS INC.,8071.0,Services-Medical Laboratories,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,Infectious Disease | CRO,徕博科,272.62,22405832481
ILMN,1110803,"ILLUMINA, INC.","ILLUMINA, INC.",3826.0,Laboratory Analytical Instruments,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,ARK Portfolio | AI medical concept stocks,Illumina Inc,130.5,19823852408
MEDP,1668397,"Medpace Holdings, Inc.","Medpace Holdings, Inc.",8731.0,Services-Commercial Physical & Biological Research,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,,Medpace Holdings Inc,508.46,14521459469
GH,1576280,"Guardant Health, Inc.","Guardant Health, Inc.",8071.0,Services-Medical Laboratories,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,ARK Portfolio | AI medical concept stocks,Guardant Health Inc,89.56,11747624696
RVTY,31791,"REVVITY, INC.","REVVITY, INC.",3826.0,Laboratory Analytical Instruments,operating,NYSE,NYSE,MA,MA,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,,Revvity Inc,94.28,10540817670
CRL,1100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.","CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",8731.0,Services-Commercial Physical & Biological Research,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,CRO,查尔斯河,184.8,9118394208
ICLR,1060955,ICON PLC,ICON PLC,8731.0,Services-Commercial Physical & Biological Research,other,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Diagnostics & Research,Diagnostics & Research,CRO,ICON plc,115.43,8814226951
QGEN,1015820,QIAGEN N.V.,QIAGEN N.V.,2836.0,"Biological Products, (No Diagnostic Substances)",other,NYSE,NYSE,P7,Netherlands,insiderTransactionForOwnerExists,Diagnostics & Research,Diagnostics & Research,,快而精医药,39.97,8236807877
