primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
LLY,59478,ELI LILLY & Co,ELI LILLY & Co,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,IN,IN,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,Weight Loss Drugs | Donald Trump,礼来,921.48,870631702464
JNJ,200406,JOHNSON & JOHNSON,JOHNSON & JOHNSON,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,CAR-T Therapy | Infectious Disease,强生,226.1,544271757143
ABBV,1551152,AbbVie Inc.,AbbVie Inc.,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,,艾伯维,200.5,354636856589
AZN,901832,ASTRAZENECA PLC,ASTRAZENECA PLC,2834.0,Pharmaceutical Preparations,other,NYSE,NYSE,X0,United Kingdom,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,Infectious Disease,阿斯利康,194.81,302148124427
NVS,1114448,NOVARTIS AG,NOVARTIS AG,2834.0,Pharmaceutical Preparations,other,NYSE,NYSE|OTC,V8,Switzerland,insiderTransactionForOwnerExists,Drug Manufacturers,Drug Manufacturers - General,CAR-T Therapy | Cancer Research,诺华制药,147.32,281108905350
MRK,310158,"Merck & Co., Inc.","Merck & Co., Inc.",2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,Donald Trump | Infectious Disease | ESG Investing | Cancer Research,默沙东,112.89,278824663565
AMGN,318154,AMGEN INC,AMGEN INC,2836.0,"Biological Products, (No Diagnostic Substances)",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,CAR-T Therapy | Weight Loss Drugs | ARK Portfolio,安进,345.92,186688009198
NVO,353278,NOVO NORDISK A S,NOVO NORDISK A S,2834.0,Pharmaceutical Preparations,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists,Drug Manufacturers,Drug Manufacturers - General,Weight Loss Drugs,诺和诺德,39.15,173692976482
GILD,882095,"GILEAD SCIENCES, INC.","GILEAD SCIENCES, INC.",2836.0,"Biological Products, (No Diagnostic Substances)",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,CAR-T Therapy | Infectious Disease | Cancer Research | Mpox (monkeypox),吉利德科学,132.9,164958405528
PFE,78003,PFIZER INC,PFIZER INC,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,CAR-T Therapy | Weight Loss Drugs | Infectious Disease | Cancer Research,辉瑞,26.8,152447944257
BMY,14272,BRISTOL MYERS SQUIBB CO,BRISTOL MYERS SQUIBB CO,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,Cancer Research,百时美施贵宝,58.8,120054044754
SNY,1121404,Sanofi,Sanofi,2834.0,Pharmaceutical Preparations,other,Nasdaq,Nasdaq|OTC,I0,France,insiderTransactionForOwnerExists,Drug Manufacturers,Drug Manufacturers - General,Infectious Disease,赛诺菲,46.9,114382261605
GSK,1131399,GSK plc,GSK plc,2834.0,Pharmaceutical Preparations,other,NYSE,NYSE|OTC,X0,United Kingdom,insiderTransactionForOwnerExists,Drug Manufacturers,Drug Manufacturers - General,CAR-T Therapy | Infectious Disease,葛兰素史克,55.7,112953651769
TAK,1395064,TAKEDA PHARMACEUTICAL CO LTD,TAKEDA PHARMACEUTICAL CO LTD,2834.0,Pharmaceutical Preparations,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,Infectious Disease,武田制药,16.6,52442600845
ZTS,1555280,Zoetis Inc.,Zoetis Inc.,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,硕腾,117.52,49419180991
HLN,1900304,Haleon plc,Haleon plc,2844.0,"Perfumes, Cosmetics & Other Toilet Preparations",other,NYSE,NYSE|OTC,X0,United Kingdom,,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,Haleon plc ADR,9.36,41646211046
TEVA,818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA PHARMACEUTICAL INDUSTRIES LTD,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE|OTC,L3,Israel,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,ARK Portfolio | Infectious Disease | Cannabis & Hemp,梯瓦制药,31.22,36352668060
BIIB,875045,BIOGEN INC.,BIOGEN INC.,2836.0,"Biological Products, (No Diagnostic Substances)",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - General,Cancer Research,生化基因,190.07,27894393417
UTHR,1082554,UNITED THERAPEUTICS Corp,UNITED THERAPEUTICS Corp,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,联合治疗,574.29,25169801793
VTRS,1792044,Viatris Inc,Viatris Inc,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,Viatris Inc,14.52,16907391599
RGC,1829667,Regencell Bioscience Holdings Ltd,Regencell Bioscience Holdings Ltd,2833.0,Medicinal Chemicals & Botanical Products,other,Nasdaq,Nasdaq,E9,Cayman Islands,insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,脑再生科技,29.29,14483580115
NBIX,914475,NEUROCRINE BIOSCIENCES INC,NEUROCRINE BIOSCIENCES INC,2836.0,"Biological Products, (No Diagnostic Substances)",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,神经分泌生物科学,131.18,13194345579
ELAN,1739104,Elanco Animal Health Inc,Elanco Animal Health Inc,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,Elanco Animal Health Inc,22.46,11216062200
RDY,1135951,DR REDDYS LABORATORIES LTD,DR REDDYS LABORATORIES LTD,2834.0,Pharmaceutical Preparations,other,NYSE,NYSE,K7,India,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,Infectious Disease | Cannabis & Hemp,如瑞迪博士,12.84,10716653758
HIMS,1773751,"Hims & Hers Health, Inc.","Hims & Hers Health, Inc.",8011.0,Services-Offices & Clinics of  Doctors of  Medicine,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,AI medical concept stocks,Hims & Hers Health Inc-A,29.01,6612503602
GRFS,1438569,Grifols SA,Grifols SA,2834.0,Pharmaceutical Preparations,other,Nasdaq,Nasdaq|OTC|OTC|OTC,,,insiderTransactionForOwnerExists,Drug Manufacturers,Drug Manufacturers - General,,基立福,8.39,5768585678
ALKS,1520262,Alkermes plc.,Alkermes plc.,2834.0,Pharmaceutical Preparations,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,阿尔凯默斯,33.74,5609366705
LNTH,1521036,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc.",2835.0,In Vitro & In Vivo Diagnostic Substances,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,,Lantheus Holdings Inc,82.88,5395703405
