primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
APH,820313,AMPHENOL CORP /DE/,AMPHENOL CORP /DE/,3678.0,Electronic Connectors,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,Optical Communication | Apple Ecosystem,安费诺,148.13,182115570924
GLW,24741,CORNING INC /NY,CORNING INC /NY,3357.0,Drawing & Insulating of  Nonferrous Wire,operating,NYSE,NYSE,NY,NY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Electronic Components,Electronic Components,Optical Communication | Apple Ecosystem,康宁,168.76,144967343892
TEL,1385157,TE Connectivity plc,TE Connectivity plc,5065.0,"Wholesale-Electronic Parts & Equipment, NEC",operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,泰科电子,221.04,64574831609
CLS,1030894,CELESTICA INC,CELESTICA INC,3672.0,Printed Circuit Boards,operating,NYSE,NYSE,A6,"Ontario, Canada",insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,天弘科技,401.74,46187721989
JBL,898293,JABIL INC,JABIL INC,3672.0,Printed Circuit Boards,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,ARK Portfolio | Tesla Ecosystem | Apple Ecosystem,捷普,336.4,35491082041
FLEX,866374,FLEX LTD.,FLEX LTD.,3672.0,Printed Circuit Boards,operating,Nasdaq,Nasdaq,U0,Singapore,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Electronic Components,Electronic Components,Apple Ecosystem,伟创力,85.42,31406706588
FN,1408710,Fabrinet,Fabrinet,3661.0,Telephone & Telegraph Apparatus,operating,NYSE,NYSE,E9,Cayman Islands,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,Optical Communication,Fabrinet,690.06,24722170297
TTMI,1116942,TTM TECHNOLOGIES INC,TTM TECHNOLOGIES INC,3672.0,Printed Circuit Boards,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,TTM科技,126.71,13157969718
VICR,751978,VICOR CORP,VICOR CORP,3679.0,"Electronic Components, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,Vicor Corp,265.0,12023883160
LFUS,889331,LITTELFUSE INC /DE,LITTELFUSE INC /DE,3613.0,Switchgear & Switchboard Apparatus,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,美国力特保险丝,394.55,9927711684
SANM,897723,SANMINA CORP,SANMINA CORP,3672.0,Printed Circuit Boards,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,新美亚电子,176.2,9621381266
PLXS,785786,PLEXUS CORP,PLEXUS CORP,3672.0,Printed Circuit Boards,operating,Nasdaq,Nasdaq,WI,WI,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,普雷克萨斯,243.56,6524111659
RAL,2041385,Ralliant Corp,Ralliant Corp,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Electronic Components,Electronic Components,,Ralliant Corp,45.24,5055935177
