primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
PWR,1050915,"QUANTA SERVICES, INC.","QUANTA SERVICES, INC.",1731.0,Electrical Work,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,广达服务,613.78,92101813602
FIX,1035983,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA INC,1731.0,Electrical Work,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Comfort Systems USA Inc,1724.49,60674399252
FER,1468522,Ferrovial SE,Ferrovial SE,1600.0,Heavy Construction Other Than Bldg Const - Contractors,other,Nasdaq,Nasdaq,P7,Netherlands,,Engineering & Construction,Engineering & Construction,,Ferrovial SE,69.93,51017807164
EME,105634,"EMCOR Group, Inc.","EMCOR Group, Inc.",1731.0,Electrical Work,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,埃姆科,860.0,38218639080
MTZ,15615,MASTEC INC,MASTEC INC,1623.0,"Water, Sewer, Pipeline, Comm & Power Line Construction",operating,NYSE,NYSE,FL,FL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,MasTec Inc,376.5,29678667453
APG,1796209,APi Group Corp,APi Group Corp,7340.0,Services-To Dwellings & Other Buildings,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,APi Group Corp,48.51,20982752905
J,52988,JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS INC.,1600.0,Heavy Construction Other Than Bldg Const - Contractors,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Jacobs Solutions Inc,127.55,14980328243
STRL,874238,"STERLING INFRASTRUCTURE, INC.","STERLING INFRASTRUCTURE, INC.",1600.0,Heavy Construction Other Than Bldg Const - Contractors,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Sterling Infrastructure Inc,487.87,14968209697
BLD,1633931,TopBuild Corp,TopBuild Corp,1700.0,Construction - Special Trade Contractors,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,Top Gainers Yesterday,TopBuild Corp,452.82,12744680936
DY,67215,DYCOM INDUSTRIES INC,DYCOM INDUSTRIES INC,1623.0,"Water, Sewer, Pipeline, Comm & Power Line Construction",operating,NYSE,NYSE,FL,FL,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,戴康工业,408.05,12249089322
IESC,1048268,"IES Holdings, Inc.","IES Holdings, Inc.",1731.0,Electrical Work,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,IES Holdings Inc,582.22,11602479578
ACM,868857,AECOM,AECOM,8711.0,Services-Engineering Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,AECOM,82.39,10652089731
STN,1131383,STANTEC INC,STANTEC INC,8711.0,Services-Engineering Services,other,NYSE,NYSE,,,insiderTransactionForOwnerExists,Engineering & Construction,Engineering & Construction,,斯坦泰克,90.06,10272873570
LGN,2052568,Legence Corp.,Legence Corp.,1700.0,Construction - Special Trade Contractors,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Legence Corp-A,79.28,9626503996
PRIM,1361538,Primoris Services Corp,Primoris Services Corp,1623.0,"Water, Sewer, Pipeline, Comm & Power Line Construction",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Primoris Services Corp,171.63,9307757151
AGX,100591,ARGAN INC,ARGAN INC,1700.0,Construction - Special Trade Contractors,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Argan Inc,651.68,9097755831
TTEK,831641,TETRA TECH INC,TETRA TECH INC,8711.0,Services-Engineering Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,德照科技,31.47,8207613945
FLR,1124198,FLUOR CORP,FLUOR CORP,1600.0,Heavy Construction Other Than Bldg Const - Contractors,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,Donald Trump,福陆,47.87,6875447994
ROAD,1718227,"Construction Partners, Inc.","Construction Partners, Inc.",1600.0,Heavy Construction Other Than Bldg Const - Contractors,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Construction Partners Inc-A,121.01,6838925650
ECG,2015845,"Everus Construction Group, Inc.","Everus Construction Group, Inc.",1531.0,Operative Builders,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Everus Construction Group Inc,132.89,6782919021
ACA,1739445,"Arcosa, Inc.","Arcosa, Inc.",3440.0,Fabricated Structural Metal Products,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,Arcosa Inc,117.83,5785285564
GVA,861459,GRANITE CONSTRUCTION INC,GRANITE CONSTRUCTION INC,1600.0,Heavy Construction Other Than Bldg Const - Contractors,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,花岗岩建筑,121.49,5285261233
MYRG,700923,MYR GROUP INC.,MYR GROUP INC.,1623.0,"Water, Sewer, Pipeline, Comm & Power Line Construction",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Engineering & Construction,Engineering & Construction,,MYR Group Inc,333.04,5175465912
