primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
NFLX,1065280,NETFLIX INC,NETFLIX INC,7841.0,Services-Video Tape Rental,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,Nancy Pelosi Portfolio | Streaming Services | Star Tech Companies,奈飞,93.24,392614854751
DIS,1744489,Walt Disney Co,Walt Disney Co,7990.0,Services-Miscellaneous Amusement & Recreation,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,Nancy Pelosi Portfolio | Duan Yongping chicang gainian | Streaming Services | Star Tech Companies | Clothing,迪士尼,104.82,185690710782
NTES,1110646,"NetEase, Inc.","NetEase, Inc.",7372.0,Services-Prepackaged Software,other,Nasdaq,Nasdaq|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,Entertainment & Gaming,Electronic Gaming & Multimedia,DeepSeek Beneficiaries | China's Terrific | Search Engine | China Concept Stocks,网易,113.27,72280770476
WBD,1437107,"Warner Bros. Discovery, Inc.","Warner Bros. Discovery, Inc.",4841.0,Cable & Other Pay Television Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,Nancy Pelosi Portfolio | Streaming Services,华纳兄弟探索,27.33,68509980071
EA,712515,ELECTRONIC ARTS INC.,ELECTRONIC ARTS INC.,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Electronic Gaming & Multimedia,,艺电,202.78,50746447922
RBLX,1315098,Roblox Corp,Roblox Corp,7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,NV,NV,insiderTransactionForIssuerExists,Entertainment & Gaming,Electronic Gaming & Multimedia,Nancy Pelosi Portfolio | ARK Portfolio | AI application software | AI glasses concept stocks | Non-Fungible Tokens,Roblox Corp-A,59.64,42690020838
TTWO,946581,TAKE TWO INTERACTIVE SOFTWARE INC,TAKE TWO INTERACTIVE SOFTWARE INC,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Electronic Gaming & Multimedia,,Take-Two Interactive Software I,218.19,40403432745
LYV,1335258,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",7900.0,Services-Amusement & Recreation Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,,Live Nation Entertainment Inc,154.63,36307421199
TKO,1973266,"TKO Group Holdings, Inc.","TKO Group Holdings, Inc.",7900.0,Services-Amusement & Recreation Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,,TKO Group Holdings Inc-A,186.26,36157713746
FWONA,1560385,Liberty Media Corp,Liberty Media Corp,4833.0,Television Broadcasting Stations,operating,Nasdaq,Nasdaq|Nasdaq|OTC,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,,Liberty Media Corp Liberty Form,81.18,33003550729
FOXA,1754301,Fox Corp,Fox Corp,4833.0,Television Broadcasting Stations,operating,Nasdaq,Nasdaq|Nasdaq,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,,福克斯-A,65.56,27888966874
ROKU,1428439,"ROKU, INC","ROKU, INC",4841.0,Cable & Other Pay Television Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,ARK Portfolio | Streaming Services,Roku Inc-A,118.34,17446603367
WMG,1319161,Warner Music Group Corp.,Warner Music Group Corp.,7900.0,Services-Amusement & Recreation Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,Digital Music,华纳音乐,29.31,15309966184
NWSA,1564708,NEWS CORP,NEWS CORP,2711.0,Newspapers: Publishing or  Publishing & Printing,operating,Nasdaq,Nasdaq|Nasdaq|OTC,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Entertainment & Gaming,Entertainment,,新闻集团-A,26.65,14800825299
