primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
SPGI,64040,S&P Global Inc.,S&P Global Inc.,7320.0,"Services-Consumer Credit Reporting, Collection Agencies",operating,NYSE,NYSE,NY,NY,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,Dividend Aristocrats,标普全球,449.06,132912604565
CME,1156375,CME GROUP INC.,CME GROUP INC.,6200.0,"Security & Commodity Brokers, Dealers, Exchanges & Services",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,Prediction Market,芝加哥商业交易所,285.71,103657896823
ICE,1571949,"Intercontinental Exchange, Inc.","Intercontinental Exchange, Inc.",6200.0,"Security & Commodity Brokers, Dealers, Exchanges & Services",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,ARK Portfolio | Prediction Market,洲际交易所,158.82,89960533462
MCO,1059556,MOODYS CORP /DE/,MOODYS CORP /DE/,7320.0,"Services-Consumer Credit Reporting, Collection Agencies",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,Warren Buffett Portfolio,穆迪,466.72,83077968540
COIN,1679788,"Coinbase Global, Inc.","Coinbase Global, Inc.",6199.0,Finance Services,operating,Nasdaq,Nasdaq,TX,TX,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,Crypto | ARK Portfolio | Fed Rate Cut Beneficiaries | Donald Trump | Stablecoin concept | ETH-Holding Companies | Crypto Treasury | Prediction Market | Non-Fungible Tokens | Blockchain,Coinbase Global Inc-A,206.24,54462862855
NDAQ,1120193,"NASDAQ, INC.","NASDAQ, INC.",6200.0,"Security & Commodity Brokers, Dealers, Exchanges & Services",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,Prediction Market,纳斯达克,86.37,49096495843
MSCI,1408198,MSCI Inc.,MSCI Inc.,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,,明晟,608.04,44265312000
CBOE,1374310,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc.",6200.0,"Security & Commodity Brokers, Dealers, Exchanges & Services",operating,CBOE,CBOE,DE,DE,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,,芝加哥期权交易所,297.45,31155589104
TRU,1552033,TransUnion,TransUnion,7320.0,"Services-Consumer Credit Reporting, Collection Agencies",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,,TransUnion,73.99,14275667077
FDS,1013237,FACTSET RESEARCH SYSTEMS INC,FACTSET RESEARCH SYSTEMS INC,7370.0,"Services-Computer Programming, Data Processing, Etc.",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,,辉盛研究系统,242.72,8842563145
MORN,1289419,"Morningstar, Inc.","Morningstar, Inc.",6282.0,Investment Advice,operating,Nasdaq,Nasdaq,IL,IL,insiderTransactionForIssuerExists,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,Nancy Pelosi Portfolio,晨星,186.16,7170402349
