primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
NEM,1164727,NEWMONT Corp /DE/,NEWMONT Corp /DE/,1040.0,Gold and Silver Ores,operating,NYSE,NYSE|OTC,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Gold & Precious Metals,Gold,Safe-Haven Assets,纽蒙特,111.85,120790520591
AEM,2809,AGNICO EAGLE MINES LTD,AGNICO EAGLE MINES LTD,1040.0,Gold and Silver Ores,other,NYSE,NYSE,A6,"Ontario, Canada",,Gold & Precious Metals,Gold,Safe-Haven Assets,伊格尔矿业,204.07,102236919714
B,756894,BARRICK MINING CORP,BARRICK MINING CORP,1040.0,Gold and Silver Ores,other,NYSE,NYSE,A1,"British Columbia, Canada",insiderTransactionForOwnerExists,Gold & Precious Metals,Gold,Safe-Haven Assets,巴里克矿业,40.73,68243455503
WPM,1323404,Wheaton Precious Metals Corp.,Wheaton Precious Metals Corp.,1040.0,Gold and Silver Ores,other,NYSE,NYSE,A6,"Ontario, Canada",insiderTransactionForOwnerExists,Gold & Precious Metals,Gold,Silver Concept,惠顿贵金属,144.72,65717288613
AU,1973832,AngloGold Ashanti PLC,AngloGold Ashanti PLC,1040.0,Gold and Silver Ores,other,NYSE,NYSE,X0,United Kingdom,insiderTransactionForIssuerExists,Gold & Precious Metals,Gold,,AngloGold Ashanti plc,98.87,49930813276
FNV,1456346,FRANCO NEVADA Corp,FRANCO NEVADA Corp,1040.0,Gold and Silver Ores,other,NYSE,NYSE,Z4,Canada (Federal Level),,Gold & Precious Metals,Gold,Safe-Haven Assets,Franco-Nevada Corp,247.34,47686828479
GFI,1172724,GOLD FIELDS LTD,GOLD FIELDS LTD,1040.0,Gold and Silver Ores,other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Gold & Precious Metals,Gold,,金田,45.49,40714652996
KGC,701818,KINROSS GOLD CORP,KINROSS GOLD CORP,1040.0,Gold and Silver Ores,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists,Gold & Precious Metals,Gold,,金罗斯黄金,32.59,39029285112
PAAS,771992,PAN AMERICAN SILVER CORP,PAN AMERICAN SILVER CORP,1040.0,Gold and Silver Ores,other,NYSE,NYSE|OTC,,,,Gold & Precious Metals,Gold,Silver Concept,泛美白银,56.46,23819553420
RGLD,85535,ROYAL GOLD INC,ROYAL GOLD INC,6795.0,Mineral Royalty Traders,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Gold & Precious Metals,Gold,,皇家黄金,251.54,21340427717
