primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
HCA,860730,"HCA Healthcare, Inc.","HCA Healthcare, Inc.",8062.0,"Services-General Medical & Surgical Hospitals, NEC",operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,HCA Healthcare Inc,471.34,105376996434
MCK,927653,MCKESSON CORP,MCKESSON CORP,5122.0,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Distribution,,麦克森,829.23,101570273139
COR,1140859,"Cencora, Inc.","Cencora, Inc.",5122.0,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Distribution,,Cencora Inc,308.3,59973809261
CAH,721371,CARDINAL HEALTH INC,CARDINAL HEALTH INC,5122.0,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",operating,NYSE,NYSE,OH,OH,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Distribution,AI medical concept stocks,卡地纳健康,200.55,47192627009
VEEV,1393052,VEEVA SYSTEMS INC,VEEVA SYSTEMS INC,7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Health Information Services,ARK Portfolio | AI application software | AI medical concept stocks | SaaS,Veeva Systems Inc-A,163.78,26750340207
THC,70318,TENET HEALTHCARE CORP,TENET HEALTHCARE CORP,8062.0,"Services-General Medical & Surgical Hospitals, NEC",operating,NYSE,NYSE,NV,NV,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,泰尼特保健,191.22,16752472320
FMS,1333141,Fresenius Medical Care AG,Fresenius Medical Care AG,8090.0,"Services-Misc Health & Allied Services, NEC",other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,费森尤斯医疗,22.86,13414862888
UHS,352915,UNIVERSAL HEALTH SERVICES INC,UNIVERSAL HEALTH SERVICES INC,8062.0,"Services-General Medical & Surgical Hospitals, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,Universal Health Services Inc-B,180.72,11029292444
ENSG,1125376,"ENSIGN GROUP, INC","ENSIGN GROUP, INC",8051.0,Services-Skilled Nursing Care Facilities,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,恩赛因,186.22,10877849680
EHC,785161,Encompass Health Corp,Encompass Health Corp,8060.0,Services-Hospitals,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,Encompass Health Corp,102.17,10157349272
DVA,927066,DAVITA INC.,DAVITA INC.,8090.0,"Services-Misc Health & Allied Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,Warren Buffett Portfolio,达维塔保健,152.42,10051236608
TEM,1717115,"Tempus AI, Inc.","Tempus AI, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Health Information Services,Nancy Pelosi Portfolio | Duan Yongping chicang gainian | AI application software | DeepSeek Beneficiaries | AI medical concept stocks,Tempus AI Inc-A,55.51,9958750456
BTSG,1865782,"BrightSpring Health Services, Inc.","BrightSpring Health Services, Inc.",8082.0,Services-Home Health Care Services,operating,Nasdaq,Nasdaq|Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Health Information Services,,BrightSpring Health Services In,47.17,9111721871
HSIC,1000228,HENRY SCHEIN INC,HENRY SCHEIN INC,5047.0,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Distribution,,亨利香恩服务,78.11,8962970264
HQY,1428336,"HEALTHEQUITY, INC.","HEALTHEQUITY, INC.",7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Health Information Services,,HealthEquity Inc,82.88,7001570289
PACS,2001184,"PACS Group, Inc.","PACS Group, Inc.",8051.0,Services-Skilled Nursing Care Facilities,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,PACS Group Inc,35.0,5500776015
CHE,19584,CHEMED CORP,CHEMED CORP,8082.0,Services-Home Health Care Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Healthcare Providers, Distribution & HCIT",Medical Care Facilities,,Chemed Corp,373.15,5453466349
