primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
CEG,1868275,Constellation Energy Corp,Constellation Energy Corp,4911.0,Electric Services,operating,Nasdaq,Nasdaq,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Independent Power Producers,Nuclear Power,Constellation Energy Corp,287.16,104036538012
VST,1692819,Vistra Corp.,Vistra Corp.,4911.0,Electric Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Independent Power Producers,Nancy Pelosi Portfolio | Energy Storage Concept | Nuclear Power,Vistra Corp,155.79,52742594201
NRG,1013871,"NRG ENERGY, INC.","NRG ENERGY, INC.",4911.0,Electric Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Independent Power Producers,,NRG Energy Inc,149.6,32097665714
AXIA,1439124,AXIA Energia S.A.,AXIA Energia S.A.,4911.0,Electric Services,other,NYSE,NYSE|NYSE|NYSE,D5,Brazil,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Renewable,,AXIA Energia ADR,12.69,25098117119
FSLR,1274494,"FIRST SOLAR, INC.","FIRST SOLAR, INC.",3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Solar,Solar Power | ESG Investing,第一太阳能,188.71,20277032920
NXT,1852131,Nextpower Inc.,Nextpower Inc.,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Solar,,Nextpower Inc-A,116.19,17251408198
TLN,1622536,Talen Energy Corp,Talen Energy Corp,4911.0,Electric Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Independent Power Producers,Nuclear Power,Talen Energy Corp,339.32,15403433775
OKLO,1849056,Oklo Inc.,Oklo Inc.,4911.0,Electric Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Independent Power Producers,ARK Portfolio | Nuclear Power,Oklo Inc-A,72.41,12593535470
ENLT,1922641,Enlight Renewable Energy Ltd.,Enlight Renewable Energy Ltd.,4911.0,Electric Services,other,Nasdaq,Nasdaq,L3,Israel,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Renewable,,Enlight Renewable Energy Ltd,83.8,11685412186
BEP,1533232,Brookfield Renewable Partners L.P.,Brookfield Renewable Partners L.P.,4911.0,Electric Services,other,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,D0,Bermuda,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Renewable,,Brookfield Renewable Partners L,33.25,10174099737
CWEN,1567683,"Clearway Energy, Inc.","Clearway Energy, Inc.",4911.0,Electric Services,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Renewable,Renewable Energy,Clearway Energy Inc-C,38.38,7876302073
MWH,2065636,"SOLV Energy, Inc.","SOLV Energy, Inc.",1600.0,Heavy Construction Other Than Bldg Const - Contractors,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Renewable,,SOLV Energy Inc-A,36.68,7427349192
ORA,1296445,"ORMAT TECHNOLOGIES, INC.","ORMAT TECHNOLOGIES, INC.",4911.0,Electric Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Independent Power & Renewable Utilities,Utilities - Renewable,,奥玛特科技,107.0,6575530385
BEPC,1791863,Brookfield Renewable Corp,Brookfield Renewable Corp,4911.0,Electric Services,other,NYSE,NYSE,A1,"British Columbia, Canada",,Independent Power & Renewable Utilities,Utilities - Renewable,Renewable Energy,Brookfield Renewable Corp-A,40.04,5828383281
