primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
GWW,277135,"W.W. GRAINGER, INC.","W.W. GRAINGER, INC.",5000.0,Wholesale-Durable Goods,operating,NYSE,NYSE,IL,IL,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,Dividend Aristocrats,固安捷,1154.18,54627322087
FAST,815556,FASTENAL CO,FASTENAL CO,5200.0,"Retail-Building Materials, Hardware, Garden Supply",operating,Nasdaq,Nasdaq,MN,MN,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,快扣,44.81,51443451083
FERG,2011641,Ferguson Enterprises Inc. /DE/,Ferguson Enterprises Inc. /DE/,5070.0,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,Ferguson Enterprises Inc,262.07,50944560407
WSO,105016,WATSCO INC,WATSCO INC,5070.0,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,operating,NYSE,NYSE|NYSE,FL,FL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,华斯科,432.69,17568462743
WCC,929008,WESCO INTERNATIONAL INC,WESCO INTERNATIONAL INC,5063.0,"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies",operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,西科国际,314.45,15327611174
QXO,1236275,"QXO, Inc.","QXO, Inc.",5030.0,Wholesale-Lumber & Other Construction Materials,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,QXO Inc,20.96,14879397460
AIT,109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,APPLIED INDUSTRIAL TECHNOLOGIES INC,5080.0,"Wholesale-Machinery, Equipment & Supplies",operating,NYSE,NYSE,OH,OH,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,应用工业技术,289.82,10810993161
CNM,1856525,"Core & Main, Inc.","Core & Main, Inc.",5099.0,"Wholesale-Durable Goods, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,Core & Main Inc-A,48.96,9530064490
POOL,945841,POOL CORP,POOL CORP,5090.0,Wholesale-Misc Durable Goods,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,Warren Buffett Portfolio,Pool Corp,234.22,8596010784
SITE,1650729,"SiteOne Landscape Supply, Inc.","SiteOne Landscape Supply, Inc.",5040.0,Wholesale-Professional & Commercial Equipment & Supplies,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,SiteOne Landscape Supply Inc,143.43,6355814594
REZI,1740332,"RESIDEO TECHNOLOGIES, INC.","RESIDEO TECHNOLOGIES, INC.",5072.0,Wholesale-Hardware,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,Resideo Technologies Inc,40.57,6143159017
MSM,1003078,MSC INDUSTRIAL DIRECT CO INC,MSC INDUSTRIAL DIRECT CO INC,5084.0,Wholesale-Industrial Machinery & Equipment,operating,NYSE,NYSE,NY,NY,insiderTransactionForIssuerExists,Industrial Distribution,Industrial Distribution,,MSC Industrial Direct Co Inc-A,96.67,5397502844
