primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES CORP,3570.0,Computer & office Equipment,operating,NYSE,NYSE,NY,NY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,Artificial Intelligence | Cloud Computing | AI Chip | Quantum Computing | Blockchain,IBM国际商业机器,251.86,236347708874
ACN,1467373,Accenture plc,Accenture plc,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,L2,Ireland,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,,埃森哲,190.1,126500659741
INFY,1067491,Infosys Ltd,Infosys Ltd,7371.0,Services-Computer Programming Services,other,NYSE,NYSE,,,insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,Cybersecurity,印孚瑟斯,13.48,54535813081
FISV,798354,FISERV INC,FISERV INC,7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,WI,WI,insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,,费哲金融服务,63.26,33717515412
CTSH,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371.0,Services-Computer Programming Services,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,Software Outsourcing,高知特,58.81,27868164142
FIS,1136893,"Fidelity National Information Services, Inc.","Fidelity National Information Services, Inc.",7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,Credit Card Payment,富达国民信息服务,47.84,24609072434
WIT,1123799,WIPRO LTD,WIPRO LTD,7371.0,Services-Computer Programming Services,other,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,,维布络,2.11,22105429724
LDOS,1336920,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",7373.0,Services-Computer Integrated Systems Design,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,Cybersecurity,Leidos Holdings Inc,150.71,18978692072
BR,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.","BROADRIDGE FINANCIAL SOLUTIONS, INC.",7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,,布罗德里奇金融,160.64,18754513578
CDW,1402057,CDW Corp,CDW Corp,5961.0,Retail-Catalog & Mail-Order Houses,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,AI PC,CDW Corp,142.44,18228682510
GIB,1061574,CGI INC,CGI INC,8742.0,Services-Management Consulting Services,other,NYSE,NYSE,,,,Information Technology Services,Information Technology Services,,CGI Inc,76.38,16403207944
CACI,16058,CACI INTERNATIONAL INC /DE/,CACI INTERNATIONAL INC /DE/,7373.0,Services-Computer Integrated Systems Design,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Information Technology Services,Information Technology Services,,CACI国际,512.25,11313437732
