primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
AMZN,1018724,AMAZON COM INC,AMAZON COM INC,5961.0,Retail-Catalog & Mail-Order Houses,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Nancy Pelosi Portfolio | Artificial Intelligence | ARK Portfolio | Top Retailers | Fed Rate Cut Beneficiaries | Santa Rally | Black Friday | BATMMAAN | DeepSeek Beneficiaries | Intelligent driving concept stocks | Streaming Services | Autonomous Driving | Star Tech Companies | SaaS | Cloud Computing | AI Chip | Smart Home | Robotics | Warren Buffett Portfolio,亚马逊,255.36,2746205739393
BABA,1577552,Alibaba Group Holding Ltd,Alibaba Group Holding Ltd,7389.0,"Services-Business Services, NEC",other,NYSE,NYSE|OTC|OTC,K3,Hong Kong,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Duan Yongping chicang gainian | Artificial Intelligence | DeepSeek Beneficiaries | Intelligent driving concept stocks | China's Terrific | China Concept Stocks | Star Tech Companies | SaaS | Cloud Computing | Non-Fungible Tokens | Robotics | Singles' Day Sales,阿里巴巴,136.42,327278229622
PDD,1737806,PDD Holdings Inc.,PDD Holdings Inc.,7389.0,"Services-Business Services, NEC",other,Nasdaq,Nasdaq,E9,Cayman Islands,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Duan Yongping chicang gainian | Tencent Ecosystem | China Concept Stocks | Singles' Day Sales,拼多多,100.05,142035628523
MELI,1099590,MERCADOLIBRE INC,MERCADOLIBRE INC,7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,ARK Portfolio | Santa Rally | Black Friday,MercadoLibre Inc,1860.98,94346441758
DASH,1792789,"DoorDash, Inc.","DoorDash, Inc.",7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Food Delivery,DoorDash Inc-A,182.27,79423493776
SE,1703399,Sea Ltd,Sea Ltd,7380.0,Services-Miscellaneous Business Services,other,NYSE,NYSE,E9,Cayman Islands,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,ARK Portfolio,Sea Ltd ADR,86.29,52851289403
EBAY,1065088,EBAY INC,EBAY INC,7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Top Retailers | Black Friday,易趣,105.63,47322240000
JD,1549802,"JD.com, Inc.","JD.com, Inc.",5990.0,"Retail-Retail Stores, NEC",other,Nasdaq,Nasdaq|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,DeepSeek Beneficiaries | China's Terrific | Tencent Ecosystem | China Concept Stocks | Singles' Day Sales,京东,30.61,41807772622
CPNG,1834584,"Coupang, Inc.","Coupang, Inc.",5961.0,Retail-Catalog & Mail-Order Houses,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Black Friday,Coupang Inc-A,20.6,37660746054
CHWY,1766502,"Chewy, Inc.","Chewy, Inc.",5961.0,Retail-Catalog & Mail-Order Houses,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Black Friday | WallStreetBets,Chewy Inc-A,27.04,11266945107
W,1616707,Wayfair Inc.,Wayfair Inc.,5961.0,Retail-Catalog & Mail-Order Houses,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,,Wayfair Inc-A,80.62,10541510345
CART,1579091,Maplebear Inc.,Maplebear Inc.,7389.0,"Services-Business Services, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,,Maplebear Inc,43.54,10306361586
VIPS,1529192,Vipshop Holdings Ltd,Vipshop Holdings Ltd,5961.0,Retail-Catalog & Mail-Order Houses,other,NYSE,NYSE,,,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,Tencent Ecosystem | China Concept Stocks | Singles' Day Sales,唯品会,14.63,7026358000
ETSY,1370637,ETSY INC,ETSY INC,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,AI glasses concept stocks,Etsy Inc,66.06,6283024204
GLBE,1835963,Global-E Online Ltd.,Global-E Online Ltd.,7372.0,Services-Prepackaged Software,other,Nasdaq,Nasdaq,L3,Israel,insiderTransactionForIssuerExists,Internet Retail,Internet Retail,ARK Portfolio,Global-E Online Ltd,32.85,5517728794
