primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
MFC,1086888,MANULIFE FINANCIAL CORP,MANULIFE FINANCIAL CORP,6311.0,Life Insurance,other,NYSE,NYSE|OTC|OTC|OTC|OTC,,,insiderTransactionForOwnerExists,Life & Diversified Insurance,Insurance - Life,,宏利金融,38.31,64062918909
AFL,4977,AFLAC INC,AFLAC INC,6321.0,Accident & Health Insurance,operating,NYSE,NYSE,GA,GA,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,美国家庭人寿保险,114.75,59117326362
MET,1099219,METLIFE INC,METLIFE INC,6311.0,Life Insurance,operating,NYSE,NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,大都会人寿,76.97,50188586143
AIG,5272,"AMERICAN INTERNATIONAL GROUP, INC.","AMERICAN INTERNATIONAL GROUP, INC.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Diversified,Asset Management,美国国际集团,76.03,40665920523
SLF,1097362,SUN LIFE FINANCIAL INC,SUN LIFE FINANCIAL INC,6311.0,Life Insurance,other,NYSE,NYSE|OTC|OTC|OTC,Z4,Canada (Federal Level),insiderTransactionForOwnerExists,Life & Diversified Insurance,Insurance - Diversified,,永明金融,70.48,39046838284
PUK,1116578,PRUDENTIAL PLC,PRUDENTIAL PLC,6311.0,Life Insurance,other,NYSE,NYSE|OTC,X0,United Kingdom,insiderTransactionForOwnerExists,Life & Diversified Insurance,Insurance - Life,,英国保诚,30.76,38803826974
HIG,874766,"HARTFORD INSURANCE GROUP, INC.","HARTFORD INSURANCE GROUP, INC.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Diversified,,哈特福德保险,138.11,37983175446
ACGL,947484,ARCH CAPITAL GROUP LTD.,ARCH CAPITAL GROUP LTD.,6331.0,"Fire, Marine & Casualty Insurance",operating,Nasdaq,Nasdaq|Nasdaq|Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Diversified,,艾奇资本,96.77,34476522824
PRU,1137774,PRUDENTIAL FINANCIAL INC,PRUDENTIAL FINANCIAL INC,6311.0,Life Insurance,operating,NYSE,NYSE|NYSE|NYSE|NYSE,NJ,NJ,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,保德信金融,94.85,32990603980
BNT,1837429,Brookfield Wealth Solutions Ltd.,Brookfield Wealth Solutions Ltd.,6399.0,"Insurance Carriers, NEC",other,NYSE,NYSE,D0,Bermuda,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Diversified,,Brookfield Wealth Solutions Ltd,46.21,15621303901
AEG,769218,AEGON LTD.,AEGON LTD.,6311.0,Life Insurance,other,NYSE,NYSE|OTC|NYSE,D0,Bermuda,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Diversified,,荷兰全球保险,8.0,15271604080
UNM,5513,Unum Group,Unum Group,6321.0,Accident & Health Insurance,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,尤纳姆,77.33,12488268383
GL,320335,GLOBE LIFE INC.,GLOBE LIFE INC.,6311.0,Life Insurance,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,环球人寿,151.25,11864738944
PRI,1475922,"Primerica, Inc.","Primerica, Inc.",6311.0,Life Insurance,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,Primerica Inc,282.07,8856174920
JXN,1822993,Jackson Financial Inc.,Jackson Financial Inc.,6311.0,Life Insurance,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,Jackson Financial Inc-A,112.04,7886017973
LNC,59558,LINCOLN NATIONAL CORP,LINCOLN NATIONAL CORP,6311.0,Life Insurance,operating,NYSE,NYSE|NYSE,IN,IN,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Life & Diversified Insurance,Insurance - Life,,林肯国民,36.83,7042255755
