primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
ISRG,1035267,INTUITIVE SURGICAL INC,INTUITIVE SURGICAL INC,3842.0,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Instruments & Supplies,ARK Portfolio | DeepSeek Beneficiaries | AI medical concept stocks | Robotics,直觉外科,483.62,171280233648
ABT,1800,ABBOTT LABORATORIES,ABBOTT LABORATORIES,2834.0,Pharmaceutical Preparations,operating,NYSE,NYSE,IL,IL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Devices,Brain-Computer Interface | Infectious Disease | Mpox (monkeypox),雅培,91.7,159709976611
SYK,310764,STRYKER CORP,STRYKER CORP,3841.0,Surgical & Medical Instruments & Apparatus,operating,NYSE,NYSE,MI,MI,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Devices,DeepSeek Beneficiaries | AI medical concept stocks | Robotics,史赛克,329.35,126135863726
MDT,1613103,Medtronic plc,Medtronic plc,3845.0,Electromedical & Electrotherapeutic Apparatus,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Devices,Brain-Computer Interface | Robotics,美敦力,83.22,106844906704
BSX,885725,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,3841.0,Surgical & Medical Instruments & Apparatus,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Devices,Brain-Computer Interface,波士顿科学,64.87,96408183083
MDLN,2046386,Medline Inc.,Medline Inc.,3841.0,Surgical & Medical Instruments & Apparatus,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Instruments & Supplies,,Medline Inc-A,47.16,61953781310
EW,1099800,Edwards Lifesciences Corp,Edwards Lifesciences Corp,3842.0,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Devices,,爱德华兹生命科学,81.53,47005444230
BDX,10795,BECTON DICKINSON & CO,BECTON DICKINSON & CO,3841.0,Surgical & Medical Instruments & Apparatus,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Instruments & Supplies,,碧迪医疗,155.65,44320062571
ALC,1167379,ALCON INC,ALCON INC,3851.0,Ophthalmic Goods,other,NYSE,NYSE,V8,Switzerland,,"Medical Devices, Instruments & Supplies",Medical Instruments & Supplies,,Alcon Inc,76.43,37254115926
GEHC,1932393,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,3844.0,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Medical Devices, Instruments & Supplies",Medical Devices,AI medical concept stocks,GE HealthCare Technologies Inc,71.38,32569990407
