primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
COP,1163165,CONOCOPHILLIPS,CONOCOPHILLIPS,2911.0,Petroleum Refining,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Donald Trump | ESG Investing | Natural Gas | Shale Oil,康菲石油,122.6,149431382827
CNQ,1017413,CANADIAN NATURAL RESOURCES LTD,CANADIAN NATURAL RESOURCES LTD,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE,A0,"Alberta, Canada",,Oil & Gas E&P,Oil & Gas E&P,,加拿大自然资源,44.68,93239582495
EOG,821189,EOG RESOURCES INC,EOG RESOURCES INC,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Shale Oil,EOG能源,133.01,71255560420
OXY,797468,OCCIDENTAL PETROLEUM CORP /DE/,OCCIDENTAL PETROLEUM CORP /DE/,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Duan Yongping chicang gainian | Donald Trump | Natural Gas | Shale Oil | Warren Buffett Portfolio,西方石油,57.05,56576210076
FANG,1539838,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",1311.0,Crude Petroleum & Natural Gas,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Shale Oil,Diamondback Energy Inc,193.87,54537905095
WDS,844551,WOODSIDE ENERGY GROUP LTD,WOODSIDE ENERGY GROUP LTD,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,,Woodside Energy Group Ltd ADR,22.45,42679698210
EQT,33213,EQT Corp,EQT Corp,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Natural Gas | Shale Oil,EQT能源,58.72,36728068160
TPL,1811074,Texas Pacific Land Corp,Texas Pacific Land Corp,6792.0,Oil Royalty Traders,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,,Texas Pacific Land Corp,439.5,30299812983
DVN,1090012,DEVON ENERGY CORP/DE,DEVON ENERGY CORP/DE,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Natural Gas | Shale Oil,戴文能源,47.12,29261520000
CTRA,858470,Coterra Energy Inc.,Coterra Energy Inc.,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Natural Gas,Coterra Energy Inc,32.93,25005481744
EXE,895126,EXPAND ENERGY Corp,EXPAND ENERGY Corp,1311.0,Crude Petroleum & Natural Gas,operating,Nasdaq,Nasdaq,OK,OK,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,,Expand Energy Corp,96.36,23164776334
PR,1658566,Permian Resources Corp,Permian Resources Corp,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,,Permian Resources Corp-A,20.32,17117366405
OVV,1792580,Ovintiv Inc.,Ovintiv Inc.,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas E&P,Oil & Gas E&P,Shale Oil,Ovintiv Inc,55.79,15807285481
