primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
SLB,87347,SLB LIMITED/NV,SLB LIMITED/NV,1389.0,"Oil & Gas Field Services, NEC",operating,NYSE,NYSE,P8,Netherlands Antilles,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,斯伦贝谢,54.35,81586594746
BKR,1701605,Baker Hughes Co,Baker Hughes Co,3533.0,Oil & Gas Field Machinery & Equipment,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,Baker Hughes Co-A,62.54,62024504481
HAL,45012,HALLIBURTON CO,HALLIBURTON CO,1389.0,"Oil & Gas Field Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,哈里伯顿,39.11,32663008143
TS,1190723,TENARIS SA,TENARIS SA,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",other,NYSE,NYSE|OTC,,,,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,泰纳瑞斯钢铁,62.16,31447488615
FTI,1681459,TechnipFMC plc,TechnipFMC plc,3533.0,Oil & Gas Field Machinery & Equipment,operating,NYSE,NYSE,X0,United Kingdom,insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,TechnipFMC plc,72.23,28889202604
NE,1895262,Noble Corp plc,Noble Corp plc,1381.0,Drilling Oil & Gas Wells,operating,NYSE,NYSE|NYSE|NYSE,X0,United Kingdom,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Drilling,,Noble Corp plc-A,47.93,7643561644
WFRD,1603923,Weatherford International plc,Weatherford International plc,3533.0,Oil & Gas Field Machinery & Equipment,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,威德福国际,100.99,7263739279
NOV,1021860,NOV Inc.,NOV Inc.,3533.0,Oil & Gas Field Machinery & Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,NOV Inc,19.77,7129673387
RIG,1451505,Transocean Ltd.,Transocean Ltd.,1381.0,Drilling Oil & Gas Wells,operating,NYSE,NYSE,V8,Switzerland,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Drilling,,越洋钻探,6.06,6706908800
AROC,1389050,"Archrock, Inc.","Archrock, Inc.",4922.0,Natural Gas Transmission,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,Archrock Inc,35.86,6284386538
VAL,314808,Valaris Ltd,Valaris Ltd,1381.0,Drilling Oil & Gas Wells,operating,NYSE,NYSE|NYSE,,,insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,Valaris Ltd,90.46,6264515386
KGS,1767042,"Kodiak Gas Services, Inc.","Kodiak Gas Services, Inc.",4922.0,Natural Gas Transmission,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,Kodiak Gas Services Inc,63.92,5490376632
LB,1995807,LandBridge Co LLC,LandBridge Co LLC,6792.0,Oil Royalty Traders,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,,LandBridge Co LLC-A,67.84,5229725562
