primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
XOM,34088,EXXON MOBIL CORP,EXXON MOBIL CORP,2911.0,Petroleum Refining,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Integrated,Oil & Gas Integrated,Donald Trump | Safe-Haven Assets | Natural Gas | Shale Oil,埃克森美孚,149.5,621405632543
CVX,93410,CHEVRON CORP,CHEVRON CORP,2911.0,Petroleum Refining,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Integrated,Oil & Gas Integrated,Donald Trump | Safe-Haven Assets | ESG Investing | Natural Gas | Shale Oil | Warren Buffett Portfolio,雪佛龙,186.32,371130584602
SHEL,1306965,Shell plc,Shell plc,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE|OTC,DC,DC,insiderTransactionForOwnerExists,Oil & Gas Integrated,Oil & Gas Integrated,Safe-Haven Assets,壳牌,89.49,254594202774
TTE,879764,TotalEnergies SE,TotalEnergies SE,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE,I0,France,insiderTransactionForOwnerExists,Oil & Gas Integrated,Oil & Gas Integrated,Safe-Haven Assets,TotalEnergies SE,89.57,191938031564
BP,313807,BP PLC,BP PLC,2911.0,Petroleum Refining,other,NYSE,NYSE|OTC|OTC,X0,United Kingdom,,Oil & Gas Integrated,Oil & Gas Integrated,Safe-Haven Assets,英国石油,46.37,121390355666
EQNR,1140625,EQUINOR ASA,EQUINOR ASA,2911.0,Petroleum Refining,other,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists,Oil & Gas Integrated,Oil & Gas Integrated,,Equinor ASA ADR,37.97,94935291009
E,1002242,ENI SPA,ENI SPA,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE|OTC,L6,Italy,,Oil & Gas Integrated,Oil & Gas Integrated,,埃尼石油,54.23,80197529670
PBR,1119639,PETROBRAS - PETROLEO BRASILEIRO SA,PETROBRAS - PETROLEO BRASILEIRO SA,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE|NYSE,D5,Brazil,insiderTransactionForIssuerExists,Oil & Gas Integrated,Oil & Gas Integrated,Fed Rate Cut Beneficiaries,巴西石油,21.18,78813230335
SU,311337,SUNCOR ENERGY INC,SUNCOR ENERGY INC,2911.0,Petroleum Refining,other,NYSE,NYSE,A0,"Alberta, Canada",,Oil & Gas Integrated,Oil & Gas Integrated,,森科能源,63.43,75285761368
IMO,49938,IMPERIAL OIL LTD,IMPERIAL OIL LTD,2911.0,Petroleum Refining,operating,NYSE,NYSE,,,,Oil & Gas Integrated,Oil & Gas Integrated,,帝国石油,125.2,60545807918
CVE,1475260,CENOVUS ENERGY INC.,CENOVUS ENERGY INC.,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE|OTC,,,,Oil & Gas Integrated,Oil & Gas Integrated,,Cenovus能源,25.92,48720104700
EC,1444406,ECOPETROL S.A.,ECOPETROL S.A.,1311.0,Crude Petroleum & Natural Gas,other,NYSE,NYSE,F8,Colombia,insiderTransactionForIssuerExists,Oil & Gas Integrated,Oil & Gas Integrated,Fed Rate Cut Beneficiaries,哥伦比亚国家石油,14.32,29439553398
YPF,904851,YPF SOCIEDAD ANONIMA,YPF SOCIEDAD ANONIMA,2911.0,Petroleum Refining,other,NYSE,NYSE,C1,Argentina,insiderTransactionForIssuerExists,Oil & Gas Integrated,Oil & Gas Integrated,,阿根廷YPF,43.15,16932520065
NFG,70145,NATIONAL FUEL GAS CO,NATIONAL FUEL GAS CO,4924.0,Natural Gas Distribution,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForIssuerExists,Oil & Gas Integrated,Oil & Gas Integrated,,National Fuel Gas Co,86.95,8262547480
