primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
ENB,895728,ENBRIDGE INC,ENBRIDGE INC,4610.0,Pipe Lines (No Natural Gas),operating,NYSE,NYSE|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC,A0,"Alberta, Canada",insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,恩桥,51.8,113018802547
WMB,107263,"WILLIAMS COMPANIES, INC.","WILLIAMS COMPANIES, INC.",4922.0,Natural Gas Transmission,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,Natural Gas,威廉姆斯,71.1,86945129287
EPD,1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,ENTERPRISE PRODUCTS PARTNERS L.P.,4922.0,Natural Gas Transmission,operating,NYSE,NYSE|OTC,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Enterprise Products Partners LP,37.74,81584848176
KMI,1506307,"KINDER MORGAN, INC.","KINDER MORGAN, INC.",4922.0,Natural Gas Transmission,operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,Natural Gas,金德摩根,31.81,70771488827
ET,1276187,Energy Transfer LP,Energy Transfer LP,4922.0,Natural Gas Transmission,operating,NYSE,NYSE|NYSE,OK,OK,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,能源转换,19.07,65606798945
TRP,1232384,TC ENERGY CORP,TC ENERGY CORP,4922.0,Natural Gas Transmission,other,NYSE,NYSE|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC,A0,"Alberta, Canada",insiderTransactionForOwnerExists,Oil & Gas Midstream,Oil & Gas Midstream,,TC Energy Corp,60.06,62566683199
MPLX,1552000,MPLX LP,MPLX LP,4610.0,Pipe Lines (No Natural Gas),operating,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,MPLX LP,55.7,56546881571
OKE,1039684,ONEOK INC /NEW/,ONEOK INC /NEW/,4923.0,Natural Gas Transmisison & Distribution,operating,NYSE,NYSE,OK,OK,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,Natural Gas,欧尼克,86.06,54220435501
LNG,3570,"Cheniere Energy, Inc.","Cheniere Energy, Inc.",4924.0,Natural Gas Distribution,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,Donald Trump | ESG Investing,Cheniere Energy Inc,257.48,54106051072
TRGP,1389170,Targa Resources Corp.,Targa Resources Corp.,4922.0,Natural Gas Transmission,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,Natural Gas,Targa Resources Corp,236.73,50850070121
VG,2007855,"Venture Global, Inc.","Venture Global, Inc.",4924.0,Natural Gas Distribution,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Venture Global Inc-A,12.34,30634896290
CQP,1383650,"Cheniere Energy Partners, L.P.","Cheniere Energy Partners, L.P.",4924.0,Natural Gas Distribution,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Cheniere Energy Partners LP,62.35,30180774569
PBA,1546066,PEMBINA PIPELINE CORP,PEMBINA PIPELINE CORP,1382.0,Oil & Gas Field Exploration Services,other,NYSE,NYSE|OTC|OTC|OTC|OTC|OTC|OTC,A0,"Alberta, Canada",,Oil & Gas Midstream,Oil & Gas Midstream,,Pembina Pipeline Corp,42.66,24798452487
PAGP,1581990,PLAINS GP HOLDINGS LP,PLAINS GP HOLDINGS LP,4610.0,Pipe Lines (No Natural Gas),operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Plains GP Holdings LP-A,22.94,17524865978
VNOM,2074176,"Viper Energy, Inc.","Viper Energy, Inc.",1311.0,Crude Petroleum & Natural Gas,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Viper Energy Inc-A,47.66,17114308182
WES,1423902,"Western Midstream Partners, LP","Western Midstream Partners, LP",4922.0,Natural Gas Transmission,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Western Midstream Partners LP,40.92,16108871399
PAA,1070423,PLAINS ALL AMERICAN PIPELINE LP,PLAINS ALL AMERICAN PIPELINE LP,4610.0,Pipe Lines (No Natural Gas),operating,Nasdaq,Nasdaq|OTC,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Plains All American Pipeline LP,21.2,14957271680
DTM,1842022,"DT Midstream, Inc.","DT Midstream, Inc.",4922.0,Natural Gas Transmission,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,DT Midstream Inc,131.66,13431178776
AM,1623925,Antero Midstream Corp,Antero Midstream Corp,4922.0,Natural Gas Transmission,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Antero Midstream Corp,21.24,10048240440
HESM,1789832,Hess Midstream LP,Hess Midstream LP,1311.0,Crude Petroleum & Natural Gas,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Hess Midstream LP-A,37.65,7819398231
KNTK,1692787,Kinetik Holdings Inc.,Kinetik Holdings Inc.,4922.0,Natural Gas Transmission,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Oil & Gas Midstream,Oil & Gas Midstream,,Kinetik Holdings Inc-A,48.04,7799764167
FRO,913290,Frontline plc,Frontline plc,4412.0,Deep Sea Foreign Transportation of  Freight,other,NYSE,NYSE,,,,Oil & Gas Midstream,Oil & Gas Midstream,,Frontline plc,34.66,7716109333
SOBO,2019061,South Bow Corp,South Bow Corp,4610.0,Pipe Lines (No Natural Gas),other,NYSE,NYSE,Z4,Canada (Federal Level),,Oil & Gas Midstream,Oil & Gas Midstream,,South Bow Corp,31.38,6544584527
