primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
MDLZ,1103982,"Mondelez International, Inc.","Mondelez International, Inc.",2000.0,Food and Kindred Products,operating,Nasdaq,Nasdaq,IL,IL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Confectioners,Santa Rally,亿滋国际,56.06,71950576435
HSY,47111,HERSHEY CO,HERSHEY CO,2060.0,Sugar & Confectionery Products,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Confectioners,,好时,188.65,38237648095
KHC,1637459,Kraft Heinz Co,Kraft Heinz Co,2030.0,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,Singles' Day Sales | Warren Buffett Portfolio,卡夫亨氏,21.89,25956336856
GIS,40704,GENERAL MILLS INC,GENERAL MILLS INC,2040.0,Grain Mill Products,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,通用磨坊,35.19,18780242061
JBS,1791942,JBS N.V.,JBS N.V.,2011.0,Meat Packing Plants,other,NYSE,NYSE,P7,Netherlands,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,JBS NV-A,17.48,18718927565
MKC,63754,MCCORMICK & CO INC,MCCORMICK & CO INC,2090.0,Miscellaneous Food Preparations & Kindred Products,operating,NYSE,NYSE|NYSE,MD,MD,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,Dividend Aristocrats,味好美,51.47,13837359247
HRL,48465,HORMEL FOODS CORP /DE/,HORMEL FOODS CORP /DE/,2011.0,Meat Packing Plants,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,荷美尔食品,21.43,11792590556
SFD,91388,SMITHFIELD FOODS INC,SMITHFIELD FOODS INC,2011.0,Meat Packing Plants,operating,Nasdaq,Nasdaq,VA,VA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,史密斯菲德食品,28.88,11363623355
SJM,91419,J M SMUCKER Co,J M SMUCKER Co,2033.0,"Canned, Fruits, Veg, Preserves, Jams & Jellies",operating,NYSE,NYSE,OH,OH,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,JM斯马克,94.99,10130523822
DAR,916540,DARLING INGREDIENTS INC.,DARLING INGREDIENTS INC.,2070.0,Fats & Oils,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,美国达尔令国际,60.25,9563435505
MICC,2071668,Magnum Ice Cream Co N.V.,Magnum Ice Cream Co N.V.,2024.0,Ice Cream & Frozen Desserts,other,NYSE,NYSE,P7,Netherlands,,Packaged Foods & Confectioners,Packaged Foods,,The Magnum Ice Cream Co NV,13.07,8002234789
PPC,802481,PILGRIMS PRIDE CORP,PILGRIMS PRIDE CORP,2015.0,Poultry Slaughtering and Processing,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,Pilgrim's Pride Corp,32.94,7837148737
INGR,1046257,Ingredion Inc,Ingredion Inc,2040.0,Grain Mill Products,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,宜瑞安,112.62,7101160625
CAG,23217,CONAGRA BRANDS INC.,CONAGRA BRANDS INC.,2000.0,Food and Kindred Products,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,康尼格拉,14.53,6951691877
LW,1679273,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc.",2030.0,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,蓝威斯顿控股,45.01,6214656863
CPB,16732,CAMPBELL'S Co,CAMPBELL'S Co,2000.0,Food and Kindred Products,operating,Nasdaq,Nasdaq,NJ,NJ,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Packaged Foods & Confectioners,Packaged Foods,,金宝汤,20.82,6207409880
