primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
CTAS,723254,CINTAS CORP,CINTAS CORP,2320.0,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",operating,Nasdaq,Nasdaq,WA,WA,insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,Dividend Aristocrats,信达思,174.66,69879216205
RELX,929869,RELX PLC,RELX PLC,7389.0,"Services-Business Services, NEC",other,NYSE,NYSE|OTC,X0,United Kingdom,,Professional & Business Services,Specialty Business Services,,RELX,36.27,65039907180
TRI,1075124,THOMSON REUTERS CORP /CAN/,THOMSON REUTERS CORP /CAN/,2741.0,Miscellaneous Publishing,other,Nasdaq,Nasdaq|OTC,A6,"Ontario, Canada",insiderTransactionForOwnerExists,Professional & Business Services,Specialty Business Services,,汤森路透,92.86,41133491250
CPRT,900075,COPART INC,COPART INC,5500.0,Retail-Auto Dealers & Gasoline Stations,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,,科帕特,33.68,32444226508
VRSK,1442145,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",7374.0,Services-Computer Processing & Data Preparation,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Professional & Business Services,Consulting Services,ESG Investing | Software Outsourcing,Verisk分析,178.89,23434685885
EFX,33185,EQUIFAX INC,EQUIFAX INC,7320.0,"Services-Consumer Credit Reporting, Collection Agencies",operating,NYSE,NYSE,GA,GA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Professional & Business Services,Consulting Services,Software Outsourcing,艾可菲,178.66,21273476592
GPN,1123360,GLOBAL PAYMENTS INC,GLOBAL PAYMENTS INC,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,GA,GA,insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,Credit Card Payment | Digital Payment,环汇,71.62,19712904591
RBA,1046102,RB GLOBAL INC.,RB GLOBAL INC.,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,A6,"Ontario, Canada",insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,,RB Global Inc,102.64,19083334610
ULS,1901440,UL Solutions Inc.,UL Solutions Inc.,8734.0,Services-Testing Laboratories,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,,UL Solutions Inc-A,89.89,18086016768
RTO,930157,RENTOKIL INITIAL PLC /FI,RENTOKIL INITIAL PLC /FI,8741.0,Services-Management Services,other,NYSE,NYSE|OTC,X0,United Kingdom,,Professional & Business Services,Specialty Business Services,,能多洁,33.62,16985092187
ARMK,1584509,Aramark,Aramark,5812.0,Retail-Eating  Places,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,,Aramark,45.25,11893328955
BAH,1443646,Booz Allen Hamilton Holding Corp,Booz Allen Hamilton Holding Corp,8742.0,Services-Management Consulting Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Professional & Business Services,Consulting Services,Cybersecurity,博思艾伦,77.37,9330387877
AMTM,2011286,"Amentum Holdings, Inc.","Amentum Holdings, Inc.",7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,,Amentum Holdings Inc,27.79,6778958541
DLB,1308547,"Dolby Laboratories, Inc.","Dolby Laboratories, Inc.",6794.0,Patent Owners & Lessors,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Professional & Business Services,Specialty Business Services,,杜比实验室,64.93,6203400058
FCN,887936,"FTI CONSULTING, INC","FTI CONSULTING, INC",8742.0,Services-Management Consulting Services,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Professional & Business Services,Consulting Services,,FTI咨询,185.32,5581558196
