primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
CB,896159,Chubb Ltd,Chubb Ltd,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,V8,Switzerland,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,Warren Buffett Portfolio,安达保险,325.43,126428116599
PGR,80661,PROGRESSIVE CORP/OH/,PROGRESSIVE CORP/OH/,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,OH,OH,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,前进保险,202.71,118463724000
TRV,86312,"TRAVELERS COMPANIES, INC.","TRAVELERS COMPANIES, INC.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,MN,MN,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,旅行者保险,301.68,64150650984
ALL,899051,ALLSTATE CORP,ALLSTATE CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,好事达保险,214.16,55301961138
WRB,11544,BERKLEY W R CORP,BERKLEY W R CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,WR柏克利,67.5,26326282230
CINF,20286,CINCINNATI FINANCIAL CORP,CINCINNATI FINANCIAL CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,Nasdaq,Nasdaq,OH,OH,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,辛辛那提金融,166.27,25885944474
MKL,1096343,MARKEL GROUP INC.,MARKEL GROUP INC.,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,VA,VA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,Markel Group Inc,1944.03,24391820227
L,60086,LOEWS CORP,LOEWS CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,洛斯保险,110.65,22768195784
EG,1095073,"EVEREST GROUP, LTD.","EVEREST GROUP, LTD.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,D0,Bermuda,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Reinsurance,,Everest Group Ltd,345.0,13806949680
RGA,898174,REINSURANCE GROUP OF AMERICA INC,REINSURANCE GROUP OF AMERICA INC,6311.0,Life Insurance,operating,NYSE,NYSE|NYSE|NYSE,MO,MO,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Reinsurance,,美国再保险集团,207.14,13569582731
RNR,913144,RENAISSANCERE HOLDINGS LTD,RENAISSANCERE HOLDINGS LTD,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE|NYSE|NYSE,D0,Bermuda,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Reinsurance,,RenaissanceRe Holdings Ltd,311.05,13454029792
CNA,21175,CNA FINANCIAL CORP,CNA FINANCIAL CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,CNA金融,48.06,12972276910
AIZ,1267238,"ASSURANT, INC.","ASSURANT, INC.",6399.0,"Insurance Carriers, NEC",operating,NYSE,NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,安信龙保险,229.07,11404707403
AFG,1042046,AMERICAN FINANCIAL GROUP INC,AMERICAN FINANCIAL GROUP INC,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,OH,OH,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,美国金融,130.23,10820328198
ORI,74260,OLD REPUBLIC INTERNATIONAL CORP,OLD REPUBLIC INTERNATIONAL CORP,6351.0,Surety Insurance,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,Old Republic International Corp,42.07,10246438362
KNSL,1669162,"Kinsale Capital Group, Inc.","Kinsale Capital Group, Inc.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,Kinsale Capital Group Inc,349.51,8058965231
THG,944695,"HANOVER INSURANCE GROUP, INC.","HANOVER INSURANCE GROUP, INC.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,汉诺威保险,178.88,6294572544
WTM,776867,WHITE MOUNTAINS INSURANCE GROUP LTD,WHITE MOUNTAINS INSURANCE GROUP LTD,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,D0,Bermuda,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,白山保险集团,2269.19,5620034797
MCY,64996,MERCURY GENERAL CORP,MERCURY GENERAL CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,CA,CA,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,默邱利通用,96.23,5330047576
RLI,84246,RLI CORP,RLI CORP,6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,RLI保险,57.11,5250346799
LMND,1691421,"Lemonade, Inc.","Lemonade, Inc.",6331.0,"Fire, Marine & Casualty Insurance",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Property & Casualty Insurance,Insurance - Property & Casualty,,Lemonade Inc,66.5,5108399594
