primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
URI,1067701,"UNITED RENTALS, INC.","UNITED RENTALS, INC.",7359.0,"Services-Equipment Rental & Leasing, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,联合租赁,802.79,50292029494
SUNB,2083785,"Sunbelt Rentals Holdings, Inc.","Sunbelt Rentals Holdings, Inc.",7359.0,"Services-Equipment Rental & Leasing, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,Sunbelt Rentals Holdings Inc,69.93,28902055224
FTAI,1590364,FTAI Aviation Ltd.,FTAI Aviation Ltd.,7350.0,Services-Miscellaneous Equipment Rental & Leasing,operating,Nasdaq,Nasdaq|Nasdaq|Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,FTAI Aviation Ltd-A,228.17,23405829192
AER,1378789,AerCap Holdings N.V.,AerCap Holdings N.V.,7359.0,"Services-Equipment Rental & Leasing, NEC",other,NYSE,NYSE,P7,Netherlands,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,AerCap飞机租赁,138.27,23074020154
CAR,723612,"AVIS BUDGET GROUP, INC.","AVIS BUDGET GROUP, INC.",7510.0,Services-Auto Rental & Leasing (No Drivers),operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,Top Gainers Yesterday,安飞士,443.94,15682040659
UHAL,4457,U-Haul Holding Co /NV/,U-Haul Holding Co /NV/,7510.0,Services-Auto Rental & Leasing (No Drivers),operating,NYSE,NYSE|NYSE,NV,NV,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,U-Haul Holding Co,53.25,10441147110
R,85961,RYDER SYSTEM INC,RYDER SYSTEM INC,7510.0,Services-Auto Rental & Leasing (No Drivers),operating,NYSE,NYSE,FL,FL,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,莱德系统,227.58,8922436620
AL,1487712,SUMISHO AIR LEASE CORP,SUMISHO AIR LEASE CORP,7359.0,"Services-Equipment Rental & Leasing, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,航空租赁,,7282301520
GATX,40211,GATX CORP,GATX CORP,4700.0,Transportation Services,operating,NYSE,NYSE,NY,NY,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,GATX Corp,196.55,6982170263
EQPT,1693736,EquipmentShare.com Inc,EquipmentShare.com Inc,7359.0,"Services-Equipment Rental & Leasing, NEC",operating,Nasdaq,Nasdaq,TX,TX,insiderTransactionForIssuerExists,Rental & Leasing Services,Rental & Leasing Services,,EquipmentShare.com Inc-A,21.48,5419189136
