primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
WELL,766704,WELLTOWER INC.,WELLTOWER INC.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,,Welltower Inc,199.7,140694738653
VTR,740260,"Ventas, Inc.","Ventas, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,Asset Management,芬塔公司,80.1,38084600157
AVB,915912,AVALONBAY COMMUNITIES INC,AVALONBAY COMMUNITIES INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,艾芙隆海湾社区,171.31,23831145839
EQR,906107,EQUITY RESIDENTIAL,EQUITY RESIDENTIAL,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,公平住屋,61.7,23117430162
ESS,920522,"ESSEX PROPERTY TRUST, INC.","ESSEX PROPERTY TRUST, INC.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,Dividend Aristocrats,埃塞克斯信托,252.19,16260487163
INVH,1687229,Invitation Homes Inc.,Invitation Homes Inc.,6510.0,Real Estate Operators (No Developers) & Lessors,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,Invitation Homes Inc,26.68,15993219840
SUI,912593,SUN COMMUNITIES INC,SUN COMMUNITIES INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,Sun Communities Inc,127.85,15754812947
MAA,912595,MID AMERICA APARTMENT COMMUNITIES INC.,MID AMERICA APARTMENT COMMUNITIES INC.,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE,TN,TN,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,MAA房产信托,124.59,14495751969
OHI,888491,OMEGA HEALTHCARE INVESTORS INC,OMEGA HEALTHCARE INVESTORS INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,,Omega Healthcare Investors Inc,45.01,13403970573
ELS,895417,EQUITY LIFESTYLE PROPERTIES INC,EQUITY LIFESTYLE PROPERTIES INC,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,宜居生活资产信托,62.82,12182750257
DOC,765880,"HEALTHPEAK PROPERTIES, INC.","HEALTHPEAK PROPERTIES, INC.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,,Healthpeak Properties Inc,16.33,11353541258
UDR,74208,"UDR, Inc.","UDR, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,UDR不动产信托,34.51,11246602665
AMH,1562401,American Homes 4 Rent,American Homes 4 Rent,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE|NYSE|NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,American Homes 4 Rent-A,30.18,10979356821
CPT,906345,CAMDEN PROPERTY TRUST,CAMDEN PROPERTY TRUST,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,TX,TX,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,卡姆登物业信托,101.48,10627646336
AHR,1632970,"American Healthcare REIT, Inc.","American Healthcare REIT, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,,American Healthcare REIT Inc,47.76,9163719701
CTRE,1590717,"CareTrust REIT, Inc.","CareTrust REIT, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,,CareTrust REIT Inc,37.31,8328981238
HR,1360604,Healthcare Realty Trust Inc,Healthcare Realty Trust Inc,6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Healthcare Facilities,,医疗保健房地产信托,18.31,6345038254
MRP,2017206,"Millrose Properties, Inc.","Millrose Properties, Inc.",6500.0,Real Estate,operating,NYSE,NYSE,MD,MD,insiderTransactionForIssuerExists,Residential & Healthcare REITs,REIT - Residential,,Millrose Properties Inc-A,30.61,5081367043
