primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
LVS,1300514,LAS VEGAS SANDS CORP,LAS VEGAS SANDS CORP,7011.0,Hotels & Motels,operating,NYSE,NYSE,NV,NV,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Resorts & Casinos,,金沙集团,56.85,37726695295
DKNG,1883685,DraftKings Inc.,DraftKings Inc.,7990.0,Services-Miscellaneous Amusement & Recreation,operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Gambling,ARK Portfolio | Sports Betting | Prediction Market | Non-Fungible Tokens,DraftKings Inc-A,22.47,19970364285
FLUT,1635327,Flutter Entertainment plc,Flutter Entertainment plc,7370.0,"Services-Computer Programming, Data Processing, Etc.",operating,NYSE,NYSE,L2,Ireland,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Gambling,Sports Betting | Prediction Market,Flutter Entertainment plc,106.61,18592829629
WYNN,1174922,WYNN RESORTS LTD,WYNN RESORTS LTD,7011.0,Hotels & Motels,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Resorts & Casinos,,永利度假村,106.64,11095187749
MGM,789570,MGM Resorts International,MGM Resorts International,7011.0,Hotels & Motels,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Resorts & Casinos,Sports Betting,美高梅,39.24,10039422311
BYD,906553,BOYD GAMING CORP,BOYD GAMING CORP,7011.0,Hotels & Motels,operating,NYSE,NYSE,NV,NV,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Resorts & Casinos,,博伊德赌场,86.15,6487476041
SGHC,1878057,Super Group (SGHC) Ltd,Super Group (SGHC) Ltd,7990.0,Services-Miscellaneous Amusement & Recreation,other,NYSE,NYSE,Y7,Guernsey,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Gambling,Sports Betting,Super Group (SGHC) Ltd,12.24,6218859885
CHDN,20212,Churchill Downs Inc,Churchill Downs Inc,7948.0,"Services-Racing, Including Track Operation",operating,Nasdaq,Nasdaq,KY,KY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Gambling,,Churchill Downs Inc,88.94,6198842998
RRR,1653653,"Red Rock Resorts, Inc.","Red Rock Resorts, Inc.",7011.0,Hotels & Motels,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Resorts & Casinos,,Red Rock Resorts Inc-A,55.66,5845793469
CZR,1590895,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc.",7011.0,Hotels & Motels,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Resorts & Casinos,,凯撒娱乐,27.49,5594792867
RSI,1793659,"Rush Street Interactive, Inc.","Rush Street Interactive, Inc.",7990.0,Services-Miscellaneous Amusement & Recreation,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Resorts, Casinos & Gambling",Gambling,,Rush Street Interactive Inc-A,23.11,5369636810
