primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
MCD,63908,MCDONALDS CORP,MCDONALDS CORP,5812.0,Retail-Eating  Places,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Restaurants,Restaurants,,麦当劳,300.07,213298047234
SBUX,829224,STARBUCKS CORP,STARBUCKS CORP,5810.0,Retail-Eating & Drinking Places,operating,Nasdaq,Nasdaq,WA,WA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Restaurants,Restaurants,,星巴克,99.52,113383136000
CMG,1058090,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL INC,5812.0,Retail-Eating  Places,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Restaurants,Restaurants,,墨式烧烤,35.11,45728071530
YUM,1041061,YUM BRANDS INC,YUM BRANDS INC,5812.0,Retail-Eating  Places,operating,NYSE,NYSE,NC,NC,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Restaurants,Restaurants,,Yum! Brands Inc,159.06,43928121122
QSR,1618756,Restaurant Brands International Inc.,Restaurant Brands International Inc.,5812.0,Retail-Eating  Places,operating,NYSE,NYSE,A6,"Ontario, Canada",insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Restaurants,Restaurants,,餐饮品牌国际,79.0,27373831247
DRI,940944,DARDEN RESTAURANTS INC,DARDEN RESTAURANTS INC,5812.0,Retail-Eating  Places,operating,NYSE,NYSE,FL,FL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Restaurants,Restaurants,,达登饭店,199.73,22876076149
YUMC,1673358,"Yum China Holdings, Inc.","Yum China Holdings, Inc.",5812.0,Retail-Eating  Places,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,China Concept Stocks,百胜中国,48.42,16977613351
DPZ,1286681,DOMINOS PIZZA INC,DOMINOS PIZZA INC,5140.0,Wholesale-Groceries & Related Products,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,Warren Buffett Portfolio,达美乐比萨,365.93,12304652401
CAVA,1639438,"CAVA GROUP, INC.","CAVA GROUP, INC.",5812.0,Retail-Eating  Places,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,,CAVA Group Inc,96.75,11259548764
TXRH,1289460,"Texas Roadhouse, Inc.","Texas Roadhouse, Inc.",5812.0,Retail-Eating  Places,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,,德州公路酒吧,158.15,10414740514
BROS,1866581,Dutch Bros Inc.,Dutch Bros Inc.,5810.0,Retail-Eating & Drinking Places,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,,Dutch Bros Inc-A,56.07,9239406023
EAT,703351,"BRINKER INTERNATIONAL, INC","BRINKER INTERNATIONAL, INC",5812.0,Retail-Eating  Places,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,,布林克国际,147.76,6434996465
WING,1636222,Wingstop Inc.,Wingstop Inc.,5812.0,Retail-Eating  Places,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Restaurants,Restaurants,,Wingstop Inc,190.0,5191387100
