primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
COHR,820318,COHERENT CORP.,COHERENT CORP.,3827.0,Optical Instruments & Lenses,operating,NYSE,NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,Optical Communication | Apple Ecosystem,Coherent Corp,350.47,65706764670
KEYS,1601046,"Keysight Technologies, Inc.","Keysight Technologies, Inc.",3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,Tesla Ecosystem | 5G,是德科技,338.97,58134200730
GRMN,1121788,GARMIN LTD,GARMIN LTD,3812.0,"Search, Detection, Navigation, Guidance, Aeronautical Sys",operating,NYSE,NYSE,V8,Switzerland,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,ARK Portfolio | Internet of Things,佳明,266.59,51420776275
TDY,1094285,TELEDYNE TECHNOLOGIES INC,TELEDYNE TECHNOLOGIES INC,3812.0,"Search, Detection, Navigation, Guidance, Aeronautical Sys",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,ARK Portfolio | Space | Robotics,Teledyne Technologies Inc,656.69,30416097887
MKSI,1049502,MKS INC,MKS INC,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,Nasdaq,Nasdaq,MA,MA,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,,MKS Inc,278.45,18745726808
FTV,1659166,Fortive Corp,Fortive Corp,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,Artificial Intelligence,Fortive Corp,60.86,18736310303
TRMB,864749,TRIMBLE INC.,TRIMBLE INC.,3829.0,"Measuring & Controlling Devices, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,ARK Portfolio,天宝导航,69.09,16035010425
CGNX,851205,COGNEX CORP,COGNEX CORP,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,Nasdaq,Nasdaq,MA,MA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,Robotics,康耐视,54.03,9023758640
ESE,866706,ESCO TECHNOLOGIES INC,ESCO TECHNOLOGIES INC,3669.0,"Communications Equipment, NEC",operating,NYSE,NYSE,MO,MO,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,,ESCO科技,311.0,8053581982
ST,1477294,Sensata Technologies Holding plc,Sensata Technologies Holding plc,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,Internet of Things,Sensata科技控股,40.9,5963201350
VNT,1786842,Vontier Corp,Vontier Corp,3824.0,Totalizing Fluid Meters & Counting Devices,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Scientific & Technical Instruments,Scientific & Technical Instruments,,Vontier Corp,36.33,5118852605
