primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
ASML,937966,ASML HOLDING NV,ASML HOLDING NV,3559.0,"Special Industry Machinery, NEC",other,Nasdaq,Nasdaq|OTC,,,,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Semiconductors | Duan Yongping chicang gainian | Artificial Intelligence | AI PC | Star Tech Companies,阿斯麦,1443.66,556412066254
LRCX,707549,LAM RESEARCH CORP,LAM RESEARCH CORP,3559.0,"Special Industry Machinery, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Semiconductors | Artificial Intelligence,拉姆研究,265.55,332080631450
AMAT,6951,APPLIED MATERIALS INC /DE,APPLIED MATERIALS INC /DE,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DC,DC,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Semiconductors | Artificial Intelligence | OLED Technology | Solar Power,应用材料,403.48,320205709137
KLAC,319201,KLA CORP,KLA CORP,3827.0,Optical Instruments & Lenses,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Semiconductors | Artificial Intelligence | AI glasses concept stocks | Solar Power,科磊,1812.06,237518683729
TER,97210,"TERADYNE, INC","TERADYNE, INC",3825.0,Instruments For Meas & Testing of  Electricity & Elec Signals,operating,Nasdaq,Nasdaq,MA,MA,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Artificial Intelligence | ARK Portfolio | Robotics,泰瑞达,385.18,60303560477
Q,2058873,"Qnity Electronics, Inc.","Qnity Electronics, Inc.",3674.0,Semiconductors & Related Devices,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,,Qnity Electronics Inc,139.25,29164739597
ENTG,1101302,ENTEGRIS INC,ENTEGRIS INC,3089.0,"Plastics Products, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,,英特格,147.93,22522180221
AMKR,1047127,"AMKOR TECHNOLOGY, INC.","AMKOR TECHNOLOGY, INC.",3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Artificial Intelligence | Apple Ecosystem,艾马克技术,72.25,17904361946
NVMI,1109345,NOVA LTD.,NOVA LTD.,3827.0,Optical Instruments & Lenses,other,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,ARK Portfolio,Nova Ltd,521.12,16562742369
ONTO,704532,ONTO INNOVATION INC.,ONTO INNOVATION INC.,3829.0,"Measuring & Controlling Devices, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,,Onto Innovation Inc,297.34,14790752212
FORM,1039399,FORMFACTOR INC,FORMFACTOR INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,,FormFactor Inc,146.18,11395380039
CAMT,1109138,CAMTEK LTD,CAMTEK LTD,3827.0,Optical Instruments & Lenses,other,Nasdaq,Nasdaq,L3,Israel,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,ARK Portfolio,康特科技,185.88,8652455069
AXTI,1051627,AXT INC,AXT INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,,AXT Inc,86.94,5576256658
IPGP,1111928,IPG PHOTONICS CORP,IPG PHOTONICS CORP,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,,IPG光电,124.51,5284625368
