primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
NVDA,1045810,NVIDIA CORP,NVIDIA CORP,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Nancy Pelosi Portfolio | Duan Yongping chicang gainian | Artificial Intelligence | Brain-Computer Interface | ARK Portfolio | AI PC | Fed Rate Cut Beneficiaries | AI glasses concept stocks | BATMMAAN | Stargate Concept Stocks | Intelligent driving concept stocks | Autonomous Driving | Star Tech Companies | Data Center | AI Chip | Metaverse | Robotics | Blockchain,英伟达,202.5,4920750000000
TSM,1046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3674.0,Semiconductors & Related Devices,other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Duan Yongping chicang gainian | Artificial Intelligence | ARK Portfolio | AI PC | China Concept Stocks | Star Tech Companies | AI Chip | Metaverse,台积电,387.44,2009459460083
AVGO,1730168,Broadcom Inc.,Broadcom Inc.,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Nancy Pelosi Portfolio | Artificial Intelligence | BATMMAAN | Intelligent driving concept stocks | Apple Ecosystem | 5G | Star Tech Companies | AI Chip | Metaverse,博通,422.65,2001107507968
MU,723125,MICRON TECHNOLOGY INC,MICRON TECHNOLOGY INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Artificial Intelligence | AI PC | Data storage stock | Apple Ecosystem | Star Tech Companies,美光科技,487.48,549747795181
AMD,2488,ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Artificial Intelligence | Brain-Computer Interface | ARK Portfolio | AI PC | AI glasses concept stocks | Star Tech Companies | Data Center | AI Chip | Blockchain,超威半导体,303.46,494742605875
INTC,50863,INTEL CORP,INTEL CORP,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | NVIDIA Portfolio | Artificial Intelligence | AI PC | Intelligent driving concept stocks | Apple Ecosystem | 5G | Autonomous Driving | Star Tech Companies | Data Center | AI Chip | Metaverse | Quantum Computing,英特尔,65.27,327721337582
TXN,97476,TEXAS INSTRUMENTS INC,TEXAS INSTRUMENTS INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | AI PC | Donald Trump | Apple Ecosystem | ESG Investing | Wireless Charging,德州仪器,236.31,215042100000
ARM,1973239,ARM HOLDINGS PLC /UK,ARM HOLDINGS PLC /UK,3674.0,Semiconductors & Related Devices,other,Nasdaq,Nasdaq,X0,United Kingdom,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Artificial Intelligence | AI PC | Stargate Concept Stocks,Arm Holdings plc ADR,196.57,208757340000
ADI,6281,ANALOG DEVICES INC,ANALOG DEVICES INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,MA,MA,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | AI PC | 5G,亚德诺,381.42,186210829563
QCOM,804328,QUALCOMM INC/DE,QUALCOMM INC/DE,3663.0,Radio & Tv Broadcasting & Communications Equipment,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Nancy Pelosi Portfolio | ARK Portfolio | AI PC | AI glasses concept stocks | Intelligent driving concept stocks | Apple Ecosystem | 5G | Star Tech Companies | AI Chip | Metaverse | Wireless Charging | Robotics,高通,136.07,145186690000
MRVL,1835632,"Marvell Technology, Inc.","Marvell Technology, Inc.",3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Artificial Intelligence | Intelligent driving concept stocks | Optical Communication | 5G,迈威尔科技,157.32,137544876000
MPWR,1280452,MONOLITHIC POWER SYSTEMS INC,MONOLITHIC POWER SYSTEMS INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Semiconductors,Semiconductors,,Monolithic Power Systems Inc,1522.04,74759560720
ASX,1122411,"ASE Technology Holding Co., Ltd.","ASE Technology Holding Co., Ltd.",3674.0,Semiconductors & Related Devices,other,NYSE,NYSE,F5,Taiwan,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Artificial Intelligence | China Concept Stocks,日月光半导体,29.95,66695618790
NXPI,1413447,NXP Semiconductors N.V.,NXP Semiconductors N.V.,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Semiconductors | Intelligent driving concept stocks | Apple Ecosystem | AI Chip,恩智浦半导体,225.75,57045409759
MCHP,827054,MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY INC,3674.0,Semiconductors & Related Devices,operating,Nasdaq,Nasdaq|Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Semiconductors,Semiconductors,Data Center,微芯科技,82.48,44632852576
STM,932787,STMicroelectronics N.V.,STMicroelectronics N.V.,3674.0,Semiconductors & Related Devices,other,NYSE,NYSE|OTC,P7,Netherlands,insiderTransactionForOwnerExists,Semiconductors,Semiconductors,Tesla Ecosystem | Internet of Things | Wireless Charging,意法半导体,44.86,39870139299
