primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
SAP,1000184,SAP SE,SAP SE,7372.0,Services-Prepackaged Software,other,NYSE,NYSE|OTC,2M,Germany,insiderTransactionForOwnerExists,Software - Application,Software - Application,AI application software | DeepSeek Beneficiaries | SaaS,思爱普,174.02,203178625533
SHOP,1594805,SHOPIFY INC.,SHOPIFY INC.,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,Z4,Canada (Federal Level),insiderTransactionForOwnerExists,Software - Application,Software - Application,ARK Portfolio | Top Retailers | Santa Rally | AI application software | SaaS,Shopify Inc-A,131.96,172090536913
CRM,1108524,"Salesforce, Inc.","Salesforce, Inc.",7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,Nancy Pelosi Portfolio | Artificial Intelligence | Fed Rate Cut Beneficiaries | AI application software | DeepSeek Beneficiaries | Star Tech Companies | SaaS | Cloud Computing,赛富时,189.8,155266600611
UBER,1543151,"Uber Technologies, Inc","Uber Technologies, Inc",7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,Intelligent driving concept stocks | Autonomous Driving | Food Delivery,优步,75.58,153943222768
INTU,896878,INTUIT INC.,INTUIT INC.,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,ARK Portfolio | DeepSeek Beneficiaries | SaaS | Asset Management,财捷,408.68,113020454000
NOW,1373715,"ServiceNow, Inc.","ServiceNow, Inc.",7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,Artificial Intelligence | AI application software | DeepSeek Beneficiaries | SaaS | Cloud Computing,现在服务公司,103.07,106796671172
ADBE,796343,ADOBE INC.,ADOBE INC.,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,Artificial Intelligence | ARK Portfolio | Fed Rate Cut Beneficiaries | AI application software | DeepSeek Beneficiaries | Star Tech Companies | SaaS | Cloud Computing,奥多比,255.94,103450948000
CDNS,813672,CADENCE DESIGN SYSTEMS INC,CADENCE DESIGN SYSTEMS INC,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,,铿腾电子,331.61,91554890669
ADP,8670,AUTOMATIC DATA PROCESSING INC,AUTOMATIC DATA PROCESSING INC,7374.0,Services-Computer Processing & Data Preparation,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,AI application software | SaaS | Software Outsourcing,自动数据处理,201.69,81209341775
MSTR,1050446,Strategy Inc,Strategy Inc,6199.0,Finance Services,operating,Nasdaq,Nasdaq|Nasdaq|Nasdaq|Nasdaq|Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,Crypto | Fed Rate Cut Beneficiaries | Donald Trump | Crypto Treasury | Blockchain,Strategy Inc-A,179.36,61985811046
SNOW,1640147,Snowflake Inc.,Snowflake Inc.,7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,AI application software | DeepSeek Beneficiaries,Snowflake Inc,155.57,53780549000
ADSK,769397,"Autodesk, Inc.","Autodesk, Inc.",7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,ARK Portfolio | AI glasses concept stocks | SaaS | Software Outsourcing,欧特克,247.57,52237270000
DDOG,1561550,"Datadog, Inc.","Datadog, Inc.",7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,ARK Portfolio | AI application software | DeepSeek Beneficiaries | SaaS | Cybersecurity,Datadog Inc-A,132.14,46757914614
ROP,882835,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES INC,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,Software Outsourcing,儒博实业,364.73,37338439003
PAYX,723531,PAYCHEX INC,PAYCHEX INC,8700.0,"Services-Engineering, Accounting, Research, Management",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,,沛齐,93.43,33475117012
WDAY,1327811,"Workday, Inc.","Workday, Inc.",7374.0,Services-Computer Processing & Data Preparation,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,AI application software | DeepSeek Beneficiaries | SaaS,Workday Inc-A,126.6,32536200000
ZM,1585521,"Zoom Communications, Inc.","Zoom Communications, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,AI application software | DeepSeek Beneficiaries | Remote Work | SaaS,Zoom通讯,91.92,27085780161
FICO,814547,FAIR ISAAC CORP,FAIR ISAAC CORP,7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Software - Application,Software - Application,,Fair Isaac Corp,970.17,23014502743
TEAM,1650372,Atlassian Corp,Atlassian Corp,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Software - Application,Software - Application,AI application software | DeepSeek Beneficiaries | Remote Work | SaaS,Atlassian Corp-A,74.01,19519698917
SSNC,1402436,SS&C Technologies Holdings Inc,SS&C Technologies Holdings Inc,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Application,Software - Application,,SS&C Technologies Holdings Inc,70.68,17015332578
