primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
MSFT,789019,MICROSOFT CORP,MICROSOFT CORP,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,WA,WA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Nancy Pelosi Portfolio | Duan Yongping chicang gainian | Artificial Intelligence | Virtual Reality | ARK Portfolio | AI PC | Fed Rate Cut Beneficiaries | AI glasses concept stocks | BATMMAAN | Stargate Concept Stocks | Intelligent driving concept stocks | Search Engine | Remote Work | Star Tech Companies | SaaS | Cloud Computing | AI Chip | Metaverse | Smart Home | Facial Recognition | Quantum Computing,微软,432.92,3214703339582
ORCL,1341439,ORACLE CORP,ORACLE CORP,7372.0,Services-Prepackaged Software,operating,NYSE,NYSE|NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Artificial Intelligence | Fed Rate Cut Beneficiaries | Stargate Concept Stocks | DeepSeek Beneficiaries | Star Tech Companies | SaaS | Cloud Computing | Quantum Computing,甲骨文,187.5,539258625000
PLTR,1321655,Palantir Technologies Inc.,Palantir Technologies Inc.,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Artificial Intelligence | ARK Portfolio | AI application software | DeepSeek Beneficiaries | WallStreetBets,Palantir Technologies Inc-A,152.62,365017547013
PANW,1327567,Palo Alto Networks Inc,Palo Alto Networks Inc,3577.0,"Computer Peripheral Equipment, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Nancy Pelosi Portfolio | DeepSeek Beneficiaries | Cybersecurity,派拓网络,181.2,146953200000
CRWD,1535527,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Nancy Pelosi Portfolio | Artificial Intelligence | ARK Portfolio | DeepSeek Beneficiaries | SaaS | Cybersecurity,CrowdStrike Holdings Inc-A,466.68,118356623521
SNPS,883241,SYNOPSYS INC,SYNOPSYS INC,7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,NVIDIA Portfolio | Artificial Intelligence | ARK Portfolio,新思科技,477.26,91424893006
NET,1477333,"Cloudflare, Inc.","Cloudflare, Inc.",7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,ARK Portfolio | AI application software | DeepSeek Beneficiaries | Stablecoin concept | Cybersecurity,Cloudflare Inc-A,207.56,73057030653
CRWV,1769628,"CoreWeave, Inc.","CoreWeave, Inc.",7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,NVIDIA Portfolio | Duan Yongping chicang gainian | Cloud Computing,CoreWeave Inc-A,122.54,66535182552
FTNT,1262039,"Fortinet, Inc.","Fortinet, Inc.",3577.0,"Computer Peripheral Equipment, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,DeepSeek Beneficiaries | Cybersecurity,防特网,87.09,64439944843
XYZ,1512673,"Block, Inc.","Block, Inc.",7372.0,Services-Prepackaged Software,operating,NYSE,NYSE|OTC,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Nancy Pelosi Portfolio,Block Inc-A,72.5,43434460000
VRSN,1014473,VERISIGN INC/CA,VERISIGN INC/CA,7371.0,Services-Computer Programming Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Warren Buffett Portfolio,威瑞信,269.83,24585750950
ZS,1713683,"Zscaler, Inc.","Zscaler, Inc.",7371.0,Services-Computer Programming Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Cybersecurity,Zscaler Inc,142.66,22938401690
TWLO,1447669,TWILIO INC,TWILIO INC,7372.0,Services-Prepackaged Software,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,AI application software | DeepSeek Beneficiaries | SaaS,Twilio Inc-A,150.45,22795281150
NTAP,1002047,"NetApp, Inc.","NetApp, Inc.",3572.0,Computer Storage Devices,operating,Nasdaq,Nasdaq,CA,CA,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Software Outsourcing,美国网存,111.02,21907621008
CPAY,1175454,"CORPAY, INC.","CORPAY, INC.",7389.0,"Services-Business Services, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,,Corpay Inc,330.7,21869849093
MDB,1441816,"MongoDB, Inc.","MongoDB, Inc.",7372.0,Services-Prepackaged Software,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,AI application software | DeepSeek Beneficiaries,MongoDB Inc-A,269.54,21662802308
IOT,1642896,Samsara Inc.,Samsara Inc.,7373.0,Services-Computer Integrated Systems Design,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,AI application software,Samsara Inc-A,32.04,18606150156
FFIV,1048695,"F5, INC.","F5, INC.",3576.0,Computer Communications Equipment,operating,Nasdaq,Nasdaq,WA,WA,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,Cybersecurity | Software Outsourcing,F5,311.18,17587667372
TOST,1650164,"Toast, Inc.","Toast, Inc.",7374.0,Services-Computer Processing & Data Preparation,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,ARK Portfolio,Toast Inc-A,29.46,17351940000
KSPI,1985487,Joint Stock Co Kaspi.kz,Joint Stock Co Kaspi.kz,7389.0,"Services-Business Services, NEC",other,Nasdaq,Nasdaq,1P,Kazakhstan,insiderTransactionForIssuerExists,Software - Infrastructure,Software - Infrastructure,,Joint Stock Co Kaspi.kz ADR,86.4,16405207344
