primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
GEV,1996810,GE Vernova Inc.,GE Vernova Inc.,3600.0,Electronic & Other Electrical Equipment (No Computer Equip),operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,Energy Storage Concept | Nuclear Power,GE Vernova Inc,1127.56,302997917562
ETN,1551182,Eaton Corp plc,Eaton Corp plc,3590.0,Misc Industrial & Commercial Machinery & Equipment,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,Artificial Intelligence | EV Charging | Nuclear Power,伊顿,413.87,160575492666
HON,773840,HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL INC,3724.0,Aircraft Engines & Engine Parts,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Conglomerates,Nuclear Power | Quantum Computing | Robotics,霍尼韦尔,219.97,139384676586
PH,76334,Parker-Hannifin Corp,Parker-Hannifin Corp,3490.0,Miscellaneous Fabricated Metal Products,operating,NYSE,NYSE,OH,OH,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,派克汉尼汾,954.43,120464841773
CMI,26172,CUMMINS INC,CUMMINS INC,3510.0,Engines & Turbines,operating,NYSE,NYSE,IN,IN,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,康明斯,639.22,88376908012
EMR,32604,EMERSON ELECTRIC CO,EMERSON ELECTRIC CO,3600.0,Electronic & Other Electrical Equipment (No Computer Equip),operating,NYSE,NYSE,MO,MO,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,Artificial Intelligence | Nuclear Power | Dividend Aristocrats,艾默生电气,142.77,80236740000
ITW,49826,ILLINOIS TOOL WORKS INC,ILLINOIS TOOL WORKS INC,3560.0,General Industrial Machinery & Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,伊利诺伊机械,267.09,76942773319
MMM,66740,3M CO,3M CO,3841.0,Surgical & Medical Instruments & Apparatus,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Conglomerates,ARK Portfolio,3M公司,145.78,76034075309
AME,1037868,AMETEK INC/,AMETEK INC/,3823.0,"Industrial Instruments For Measurement, Display, and Control",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,ARK Portfolio,阿美特克,230.46,52790418767
ROK,1024478,"ROCKWELL AUTOMATION, INC","ROCKWELL AUTOMATION, INC",3829.0,"Measuring & Controlling Devices, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,Robotics,罗克韦尔自动化,407.02,45731915714
SYM,1837240,Symbotic Inc.,Symbotic Inc.,3569.0,"General Industrial Machinery & Equipment, NEC",operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,ARK Portfolio | Robotics,Symbotic Inc-A,63.22,38069300690
IR,1699150,Ingersoll Rand Inc.,Ingersoll Rand Inc.,3560.0,General Industrial Machinery & Equipment,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,英格索兰,83.7,32778426098
OTIS,1781335,Otis Worldwide Corp,Otis Worldwide Corp,3600.0,Electronic & Other Electrical Equipment (No Computer Equip),operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,Otis Worldwide Corp,77.88,30039142307
XYL,1524472,Xylem Inc.,Xylem Inc.,3561.0,Pumps & Pumping Equipment,operating,NYSE,NYSE,IN,IN,insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,赛莱默,121.46,29250780131
DOV,29905,DOVER Corp,DOVER Corp,3530.0,"Construction, Mining & Materials Handling Machinery & Equip",operating,NYSE,NYSE,NY,NY,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,Dividend Aristocrats,都福,216.17,29138948597
ITT,216228,ITT INC.,ITT INC.,3561.0,Pumps & Pumping Equipment,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Specialty Industrial Machinery & Conglomerates,Specialty Industrial Machinery,,ITT Inc,217.08,19407526394
