primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
NUE,73309,NUCOR CORP,NUCOR CORP,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Steel,Donald Trump | Warren Buffett Portfolio,纽柯钢铁,214.26,48794639083
MT,1243429,ArcelorMittal,ArcelorMittal,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",other,NYSE,NYSE|OTC|OTC,,,insiderTransactionForOwnerExists,Steel & Metal Fabrication,Steel,Tesla Ecosystem,安赛乐米塔尔,61.04,46459119992
STLD,1022671,STEEL DYNAMICS INC,STEEL DYNAMICS INC,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",operating,Nasdaq,Nasdaq,IN,IN,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Steel & Metal Fabrication,Steel,Donald Trump,Steel Dynamics Inc,227.46,32918517299
PKX,889132,POSCO HOLDINGS INC.,POSCO HOLDINGS INC.,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",other,NYSE,NYSE,,,,Steel & Metal Fabrication,Steel,,浦项钢铁,70.69,21382531470
CRS,17843,CARPENTER TECHNOLOGY CORP,CARPENTER TECHNOLOGY CORP,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Metal Fabrication,ARK Portfolio,卡朋特科技,423.91,21114837133
ATI,1018963,ATI INC,ATI INC,3317.0,Steel Pipe & Tubes,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Metal Fabrication,ARK Portfolio,阿勒格尼技术,153.3,20919684387
RS,861884,"RELIANCE, INC.","RELIANCE, INC.",5051.0,Wholesale-Metals Service Centers & of fices,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Steel,,Reliance Steel & Aluminum Co,350.87,17911562630
MLI,89439,MUELLER INDUSTRIES INC,MUELLER INDUSTRIES INC,3350.0,Rolling Drawing & Extruding of  Nonferrous Metals,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Metal Fabrication,,木勒工业,134.94,14920398518
TX,1342874,Ternium S.A.,Ternium S.A.,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",other,NYSE,NYSE,N4,Luxembourg,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Steel,,特尔尼翁钢铁,43.21,8482454749
CMC,22444,COMMERCIAL METALS Co,COMMERCIAL METALS Co,3312.0,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Metal Fabrication,,美国工商五金,69.54,7711108683
ESAB,1877322,ESAB Corp,ESAB Corp,3569.0,"General Industrial Machinery & Equipment, NEC",operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Metal Fabrication,,ESAB Corp,103.86,6323154875
CLF,764065,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS INC.,1000.0,Metal Mining,operating,NYSE,NYSE,OH,OH,insiderTransactionForIssuerExists,Steel & Metal Fabrication,Steel,Rare Earth Stocks,克利夫兰克里夫,9.5,5418939242
