primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
TMUS,1283699,"T-Mobile US, Inc.","T-Mobile US, Inc.",4812.0,Radiotelephone Communications,operating,Nasdaq,Nasdaq|Nasdaq|Nasdaq|Nasdaq,DE,DE,insiderTransactionForIssuerExists,Telecom Services,Telecom Services,5G,T-Mobile US Inc,188.92,208163908652
VZ,732712,VERIZON COMMUNICATIONS INC,VERIZON COMMUNICATIONS INC,4813.0,Telephone Communications (No Radiotelephone),operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Telecom Services,Telecom Services,5G,威瑞森通讯,45.98,192196400000
T,732717,AT&T INC.,AT&T INC.,4813.0,Telephone Communications (No Radiotelephone),operating,NYSE,NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Telecom Services,Telecom Services,Nancy Pelosi Portfolio | 5G,美国电话电报,25.98,180950700000
CMCSA,1166691,COMCAST CORP,COMCAST CORP,4841.0,Cable & Other Pay Television Services,operating,Nasdaq,Nasdaq|NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Telecom Services,Telecom Services,Nancy Pelosi Portfolio | Streaming Services,康卡斯特,29.37,105668736844
AMX,1129137,AMERICA MOVIL SAB DE CV/,AMERICA MOVIL SAB DE CV/,4813.0,Telephone Communications (No Radiotelephone),other,NYSE,NYSE|OTC,O5,Mexico,insiderTransactionForIssuerExists,Telecom Services,Telecom Services,,美洲移动,25.73,77575950000
VOD,839923,VODAFONE GROUP PUBLIC LTD CO,VODAFONE GROUP PUBLIC LTD CO,4812.0,Radiotelephone Communications,other,Nasdaq,Nasdaq|OTC,,,insiderTransactionForOwnerExists,Telecom Services,Telecom Services,,沃达丰,15.31,35811059028
SATS,1415404,EchoStar CORP,EchoStar CORP,4899.0,"Communications Services, NEC",operating,Nasdaq,Nasdaq,NV,NV,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Telecom Services,Telecom Services,Space,回声星通信,122.36,35346850107
CHTR,1091667,"CHARTER COMMUNICATIONS, INC. /MO/","CHARTER COMMUNICATIONS, INC. /MO/",4841.0,Cable & Other Pay Television Services,operating,Nasdaq,Nasdaq,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Telecom Services,Telecom Services,Warren Buffett Portfolio,特许通讯,242.49,34234342941
CHT,1132924,CHUNGHWA TELECOM CO LTD,CHUNGHWA TELECOM CO LTD,4812.0,Radiotelephone Communications,other,NYSE,NYSE,,,insiderTransactionForIssuerExists,Telecom Services,Telecom Services,,中华电信,43.15,33473381842
VIV,1066119,TELEFONICA BRASIL S.A.,TELEFONICA BRASIL S.A.,4813.0,Telephone Communications (No Radiotelephone),other,NYSE,NYSE,,,insiderTransactionForIssuerExists,Telecom Services,Telecom Services,,保罗迪圣电讯,15.87,25357136403
