primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
BKNG,1075531,Booking Holdings Inc.,Booking Holdings Inc.,4700.0,Transportation Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,,Booking Holdings,179.4,139604263469
MAR,1048286,MARRIOTT INTERNATIONAL INC /MD/,MARRIOTT INTERNATIONAL INC /MD/,7011.0,Hotels & Motels,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,,万豪国际,367.13,97264482590
ABNB,1559720,"Airbnb, Inc.","Airbnb, Inc.",7340.0,Services-To Dwellings & Other Buildings,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,,爱彼迎,144.18,87764378464
HLT,1585689,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,7011.0,Hotels & Motels,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,,希尔顿酒店,333.67,76342339631
RCL,884887,ROYAL CARIBBEAN CRUISES LTD,ROYAL CARIBBEAN CRUISES LTD,4400.0,Water Transportation,operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,Cruise Lines,皇家加勒比邮轮,265.64,71242714406
VIK,1745201,Viking Holdings Ltd,Viking Holdings Ltd,4400.0,Water Transportation,other,NYSE,NYSE,D0,Bermuda,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,Cruise Lines,维京游轮,80.01,35692461000
TCOM,1269238,Trip.com Group Ltd,Trip.com Group Ltd,7389.0,"Services-Business Services, NEC",other,Nasdaq,Nasdaq|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,China Concept Stocks,携程,53.95,35261905156
CCL,815097,CARNIVAL CORP,CARNIVAL CORP,4400.0,Water Transportation,operating,NYSE,NYSE,R1,Panama,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,Cruise Lines | WallStreetBets,嘉年华邮轮,26.94,33378665711
EXPE,1324424,"Expedia Group, Inc.","Expedia Group, Inc.",4700.0,Transportation Services,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,,亿客行,264.6,32422727396
IHG,858446,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,7011.0,Hotels & Motels,other,NYSE,NYSE|OTC,DE,DE,,"Travel, Lodging & Hotel REITs",Lodging,,洲际酒店,140.21,21056030160
HTHT,1483994,H World Group Ltd,H World Group Ltd,7011.0,Hotels & Motels,other,Nasdaq,Nasdaq|OTC,E9,Cayman Islands,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,China Concept Stocks,华住,52.06,16017202171
H,1468174,Hyatt Hotels Corp,Hyatt Hotels Corp,7011.0,Hotels & Motels,operating,NYSE,NYSE,IL,IL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,,凯悦酒店,165.44,15574516471
HST,1070750,"HOST HOTELS & RESORTS, INC.","HOST HOTELS & RESORTS, INC.",6798.0,Real Estate Investment Trusts,operating,Nasdaq,Nasdaq,MD,MD,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",REIT - Hotel & Motel,ESG Investing,HOST酒店及度假村,20.85,14298552865
NCLH,1513761,Norwegian Cruise Line Holdings Ltd.,Norwegian Cruise Line Holdings Ltd.,4400.0,Water Transportation,operating,NYSE,NYSE,D0,Bermuda,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,Cruise Lines,挪威邮轮,19.03,8669033548
WH,1722684,"WYNDHAM HOTELS & RESORTS, INC.","WYNDHAM HOTELS & RESORTS, INC.",7011.0,Hotels & Motels,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,,温德姆酒店及度假村,85.24,6397412363
RHP,1040829,"Ryman Hospitality Properties, Inc.","Ryman Hospitality Properties, Inc.",6798.0,Real Estate Investment Trusts,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",REIT - Hotel & Motel,,Ryman Hospitality Properties In,100.2,6323549054
ATAT,1853717,Atour Lifestyle Holdings Ltd,Atour Lifestyle Holdings Ltd,7011.0,Hotels & Motels,other,Nasdaq,Nasdaq,E9,Cayman Islands,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,China Concept Stocks,亚朵,40.41,5497505550
CHH,1046311,CHOICE HOTELS INTERNATIONAL INC /DE,CHOICE HOTELS INTERNATIONAL INC /DE,7011.0,Hotels & Motels,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Lodging,,精选国际酒店,117.4,5371883070
CUK,1125259,CARNIVAL PLC,CARNIVAL PLC,4400.0,Water Transportation,operating,NYSE,NYSE|OTC,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Travel, Lodging & Hotel REITs",Travel Services,,嘉年华邮轮(ADR),26.86,5076960010
