primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
FDX,1048911,FEDEX CORP,FEDEX CORP,4513.0,Air Courier Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,Black Friday,联邦快递,385.95,92090277478
UPS,1090727,UNITED PARCEL SERVICE INC,UNITED PARCEL SERVICE INC,4210.0,Trucking & Courier Services (No Air),operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,ARK Portfolio | Black Friday,联合包裹服务,105.3,89470556054
ODFL,878927,"OLD DOMINION FREIGHT LINE, INC.","OLD DOMINION FREIGHT LINE, INC.",4213.0,Trucking (No Local),operating,Nasdaq,Nasdaq,VA,VA,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Trucking,,Old Dominion Freight Line Inc,219.98,45820101218
XPO,1166003,"XPO, Inc.","XPO, Inc.",4700.0,Transportation Services,operating,NYSE,NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Trucking,,XPO,221.12,25961327276
JBHT,728535,HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES INC,4213.0,Trucking (No Local),operating,Nasdaq,Nasdaq,AR,AR,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,Black Friday | Infrastructure | ESG Investing,JB亨特运输服务,247.03,23294681970
CHRW,1043277,"C. H. ROBINSON WORLDWIDE, INC.","C. H. ROBINSON WORLDWIDE, INC.",4731.0,Arrangement of  Transportation of  Freight & Cargo,operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,Black Friday | Dividend Aristocrats,罗宾逊全球物流,182.35,21490022811
EXPD,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,4731.0,Arrangement of  Transportation of  Freight & Cargo,operating,NYSE,NYSE,WA,WA,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,Black Friday,康捷国际物流,148.44,19740145999
ZTO,1677250,ZTO Express (Cayman) Inc.,ZTO Express (Cayman) Inc.,4210.0,Trucking & Courier Services (No Air),other,NYSE,NYSE|OTC,,,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,Alibaba Ecosystem | China Concept Stocks | Singles' Day Sales,中通快递,25.53,19655564692
SAIA,1177702,SAIA INC,SAIA INC,4213.0,Trucking (No Local),operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Trucking,,Saia Inc,431.46,11506831962
TFII,1588823,TFI International Inc.,TFI International Inc.,4210.0,Trucking & Courier Services (No Air),other,NYSE,NYSE,A8,"Quebec, Canada",insiderTransactionForOwnerExists,"Trucking, Freight & Logistics",Trucking,,TFI International Inc,135.91,11169903473
KNX,1492691,Knight-Swift Transportation Holdings Inc.,Knight-Swift Transportation Holdings Inc.,4213.0,Trucking (No Local),operating,NYSE,NYSE,,,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Trucking,,Knight-Swift Transportation Hol,63.98,10394053947
KEX,56047,KIRBY CORP,KIRBY CORP,4400.0,Water Transportation,operating,NYSE,NYSE,NV,NV,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Marine Shipping,Red Sea Shipping Crisis,卡比海运,148.28,7950921880
GXO,1852244,"GXO Logistics, Inc.","GXO Logistics, Inc.",4700.0,Transportation Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,,GXO Logistics Inc,57.36,6599108711
LSTR,853816,LANDSTAR SYSTEM INC,LANDSTAR SYSTEM INC,4213.0,Trucking (No Local),operating,Nasdaq,Nasdaq,DE,DE,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Integrated Freight & Logistics,,莱帝运输,177.37,6024746301
SNDR,1692063,"Schneider National, Inc.","Schneider National, Inc.",4213.0,Trucking (No Local),operating,NYSE,NYSE,WI,WI,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Trucking,,Schneider National Inc-B,29.84,5232041637
MATX,3453,"Matson, Inc.","Matson, Inc.",4400.0,Water Transportation,operating,NYSE,NYSE,HI,HI,insiderTransactionForIssuerExists,"Trucking, Freight & Logistics",Marine Shipping,Red Sea Shipping Crisis,美森,170.78,5195009762
