primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
NEE,753308,NEXTERA ENERGY INC,NEXTERA ENERGY INC,4911.0,Electric Services,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,FL,FL,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Renewable Energy | Nuclear Power | Dividend Aristocrats,新纪元能源,90.0,187677256950
SO,92122,SOUTHERN CO,SOUTHERN CO,4911.0,Electric Services,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,DE,DE,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,南方电力,91.87,103658742323
DUK,1326160,Duke Energy CORP,Duke Energy CORP,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE|NYSE|NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,杜克能源,125.25,97471638168
NGG,1004315,NATIONAL GRID PLC,NATIONAL GRID PLC,4922.0,Natural Gas Transmission,other,NYSE,NYSE|OTC|OTC|OTC|OTC|OTC,,,insiderTransactionForOwnerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,英国国家电网,85.6,85108813127
AEP,4904,AMERICAN ELECTRIC POWER CO INC,AMERICAN ELECTRIC POWER CO INC,4911.0,Electric Services,operating,Nasdaq,Nasdaq,NY,NY,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,美国电力,131.62,71543825238
D,715957,"DOMINION ENERGY, INC","DOMINION ENERGY, INC",4911.0,Electric Services,operating,NYSE,NYSE,VA,VA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,道明尼能源,60.95,53572899501
ETR,65984,ENTERGY CORP /DE/,ENTERGY CORP /DE/,4911.0,Electric Services,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,安特吉,110.47,50573014988
XEL,72903,XCEL ENERGY INC,XCEL ENERGY INC,4931.0,Electric & Other Services Combined,operating,Nasdaq,Nasdaq|Nasdaq,MN,MN,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,埃克西尔能源,78.11,48753308895
EXC,1109357,EXELON CORP,EXELON CORP,4931.0,Electric & Other Services Combined,operating,Nasdaq,Nasdaq,PA,PA,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,爱克斯龙电力,45.86,46922809673
ED,1047862,CONSOLIDATED EDISON INC,CONSOLIDATED EDISON INC,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE,NY,NY,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,爱迪生联合电气,108.13,39837389330
PEG,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PUBLIC SERVICE ENTERPRISE GROUP INC,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,公共服务企业,78.51,39156070334
PCG,1004980,PG&E Corp,PG&E Corp,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,CA,CA,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,太平洋煤气电力,16.88,37173479609
WEC,783325,"WEC ENERGY GROUP, INC.","WEC ENERGY GROUP, INC.",4931.0,Electric & Other Services Combined,operating,NYSE,NYSE,WI,WI,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,WEC能源,113.38,36927821555
AEE,1002910,AMEREN CORP,AMEREN CORP,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE,MO,MO,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,阿曼瑞恩,109.24,30221597644
DTE,936340,DTE ENERGY CO,DTE ENERGY CO,4911.0,Electric Services,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,MI,MI,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,DTE能源,143.57,29866596758
PPL,922224,PPL Corp,PPL Corp,4911.0,Electric Services,operating,NYSE,NYSE|NYSE,,,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,PPL能源,37.78,28416797365
FTS,1666175,Fortis Inc.,Fortis Inc.,4911.0,Electric Services,other,NYSE,NYSE|OTC|OTC|OTC|OTC|OTC|OTC,A4,"Newfoundland, Canada",insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,Fortis Inc,55.36,28185602603
FE,1031296,FIRSTENERGY CORP,FIRSTENERGY CORP,4911.0,Electric Services,operating,NYSE,NYSE,OH,OH,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Renewable Energy,第一能源,48.43,28011846620
CNP,1130310,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY INC,4911.0,Electric Services,operating,NYSE,NYSE,TX,TX,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,中点能源,42.12,27553355879
EIX,827052,EDISON INTERNATIONAL,EDISON INTERNATIONAL,4911.0,Electric Services,operating,NYSE,NYSE,CA,CA,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,爱迪生国际,69.38,26704774880
ES,72741,EVERSOURCE ENERGY,EVERSOURCE ENERGY,4911.0,Electric Services,operating,NYSE,NYSE,MA,MA,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,能源方案,67.05,25200430382
CMS,811156,CMS ENERGY CORP,CMS ENERGY CORP,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE,MI,MI,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,CMS能源,74.98,23093589192
KEP,887225,KOREA ELECTRIC POWER CORP,KOREA ELECTRIC POWER CORP,4911.0,Electric Services,other,NYSE,NYSE,M5,"Korea, Republic of",,Utilities - Regulated Electric,Utilities - Regulated Electric,Nuclear Power,韩国电力,15.28,19618422193
EVRG,1711269,"Evergy, Inc.","Evergy, Inc.",4931.0,Electric & Other Services Combined,operating,Nasdaq,Nasdaq,,,insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,,Evergy,79.64,18339829626
LNT,352541,ALLIANT ENERGY CORP,ALLIANT ENERGY CORP,4931.0,Electric & Other Services Combined,operating,Nasdaq,Nasdaq,WI,WI,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,Utilities - Regulated Electric,Utilities - Regulated Electric,Energy Storage Concept,美国联合能源,70.96,18327299234
