primary_ticker,cik,company_tickers_title,edgar_name,sic,sic_description,entity_type,exchange,exchange_list,state_of_incorporation,state_of_incorporation_description,flags,Industry Plate,Original Industry Plate,Concept Plate,quote_name,latest_price,total_market_cap_usd
SRE,1032208,SEMPRA,SEMPRA,4932.0,Gas & Other Services Combined,operating,NYSE,NYSE|NYSE,CA,CA,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Diversified,ESG Investing,桑普拉能源,92.38,60354861523
ATO,731802,ATMOS ENERGY CORP,ATMOS ENERGY CORP,4924.0,Natural Gas Distribution,operating,NYSE,NYSE,TX,TX,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,Atmos Energy Corp,182.49,30190953256
AWK,1410636,"American Water Works Company, Inc.","American Water Works Company, Inc.",4941.0,Water Supply,operating,NYSE,NYSE,DE,DE,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Water,,美国水业,131.13,25607081349
SBS,1170858,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,4941.0,Water Supply,other,NYSE,NYSE,D5,Brazil,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Water,,Companhia de Saneamento Basico ,34.64,24417971725
NI,1111711,NISOURCE INC.,NISOURCE INC.,4931.0,Electric & Other Services Combined,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,尼索思,46.85,22457912321
BIP,1406234,Brookfield Infrastructure Partners L.P.,Brookfield Infrastructure Partners L.P.,4400.0,Water Transportation,other,NYSE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|OTC,D0,Bermuda,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Diversified,,布鲁克菲尔德公共建设,36.01,16549259524
WTRG,78128,"Essential Utilities, Inc.","Essential Utilities, Inc.",4941.0,Water Supply,operating,NYSE,NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Water,,Essential Utilities Inc,38.96,11037512035
AES,874761,AES CORP,AES CORP,4991.0,Cogeneration Services & Small Power Producers,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Diversified,Energy Storage Concept | Solar Power,爱依斯电力,14.45,10303884952
UGI,884614,UGI CORP /PA/,UGI CORP /PA/,4932.0,Gas & Other Services Combined,operating,NYSE,NYSE,PA,PA,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,UGI公用事业,36.15,7759103583
SWX,1692115,"Southwest Gas Holdings, Inc.","Southwest Gas Holdings, Inc.",4923.0,Natural Gas Transmisison & Distribution,operating,NYSE,NYSE,DE,DE,insiderTransactionForOwnerExists|insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,Southwest Gas Holdings Inc,88.4,6397033292
NJR,356309,NEW JERSEY RESOURCES CORP,NEW JERSEY RESOURCES CORP,4924.0,Natural Gas Distribution,operating,NYSE,NYSE,NJ,NJ,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,新泽西能源,55.17,5563628856
BKH,1130464,BLACK HILLS CORP /SD/,BLACK HILLS CORP /SD/,4911.0,Electric Services,operating,NYSE,NYSE,SD,SD,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,黑山,72.53,5516249349
OGS,1587732,"ONE Gas, Inc.","ONE Gas, Inc.",4924.0,Natural Gas Distribution,operating,NYSE,NYSE,OK,OK,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,ONE Gas Inc,86.43,5424518796
SR,1126956,SPIRE INC,SPIRE INC,4924.0,Natural Gas Distribution,operating,NYSE,NYSE|NYSE,MO,MO,insiderTransactionForIssuerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,Spire Inc,88.91,5254277639
BIPC,1788348,Brookfield Infrastructure Corp,Brookfield Infrastructure Corp,4923.0,Natural Gas Transmisison & Distribution,other,NYSE,NYSE,A1,"British Columbia, Canada",insiderTransactionForOwnerExists,"Utilities - Regulated Gas, Water & Diversified",Utilities - Regulated Gas,,Brookfield Infrastructure Corp-,40.02,5079789465
